Geo Point;Geo Shape;N_SQ_SPVP;N_SQ_CA;N_SQ_PC
48.8696666258,2.39754924019;"{""coordinates"": [[[2.398384465301427, 48.86918607181684], [2.398346956492357, 48.869168387580665], [2.398318825745732, 48.8691554054426], [2.398258300888181, 48.86912712550414], [2.398236136335199, 48.86911680929666], [2.398200389342255, 48.869146054972454], [2.398147621978351, 48.86919076638644], [2.397995273527731, 48.86931822227261], [2.397939866250899, 48.86929513820351], [2.397842689805591, 48.86925380958005], [2.397795807443615, 48.86923423347435], [2.397764316558277, 48.869260736770016], [2.397675801627427, 48.86933560722906], [2.397417916188298, 48.869554029744755], [2.397330252315308, 48.869628898821986], [2.397143857803075, 48.86978644123369], [2.397017040539039, 48.86989400069256], [2.396981292927911, 48.86992401851662], [2.396921715351629, 48.86997498591521], [2.396864689273415, 48.87002292998018], [2.396822984828134, 48.870058642013014], [2.396761702857654, 48.87010996137216], [2.397065897611152, 48.870136497412446], [2.397085494726507, 48.87013838400695], [2.397169855700144, 48.87014887787909], [2.397177524271795, 48.870149927354575], [2.398168313241835, 48.86938936843128], [2.398170015313758, 48.86938824382531], [2.398170866166662, 48.869387048388404], [2.39817256904887, 48.869385853638235], [2.398174270578084, 48.86938465798193], [2.398175973728143, 48.8693833220372], [2.398177675504522, 48.86938198698488], [2.398179378101609, 48.869380580889086], [2.398181079593005, 48.869379034491146], [2.398182781352391, 48.86937734689869], [2.398184483911676, 48.86937559006131], [2.398185335048864, 48.86937460596987], [2.398187888552164, 48.86937270771841], [2.398188738326038, 48.8693717236201], [2.398189589463082, 48.86937073952856], [2.398190439440143, 48.86936891185346], [2.398192141446081, 48.86936708486491], [2.398193842651901, 48.86936532712126], [2.398194692913485, 48.86936371079165], [2.398196394403875, 48.869362164393465], [2.398197244960588, 48.86936075851011], [2.398198095802131, 48.86935956397225], [2.398198945833152, 48.86935843957862], [2.398199796417064, 48.86935738533596], [2.398201499565475, 48.869356049390866], [2.398202349016397, 48.86935450320536], [2.398204051574174, 48.86935274636765], [2.398205753036763, 48.8693508483286], [2.398206604173145, 48.869349864236945], [2.39820745475666, 48.869348809994264], [2.39820830534014, 48.86934775575156], [2.398209155923587, 48.86934670150884], [2.398210006507099, 48.86934564726613], [2.398210856548027, 48.869344521973105], [2.398211707131368, 48.86934346773038], [2.398212558525138, 48.869342343343455], [2.39821340910841, 48.86934128910072], [2.398214259691647, 48.86934023485798], [2.398215110274951, 48.86933918061522], [2.39821596085812, 48.86933812637243], [2.398216811698761, 48.86933693183445], [2.3982176617395, 48.86933580654136], [2.398218513132915, 48.86933468215438], [2.398219363163192, 48.86933355776055], [2.398220214556533, 48.869332433373586], [2.398221065139488, 48.869331379130756], [2.398221915722408, 48.86933032488794], [2.39822276575254, 48.86932920049412], [2.398223616335391, 48.869328146251256], [2.398224466272782, 48.86932596783434], [2.398225316313075, 48.869324842541175], [2.398226166895803, 48.86932378829833], [2.398227017736078, 48.86932259376023], [2.398227015727295, 48.869321469579255], [2.398227866567512, 48.86932027504118], [2.398228716865217, 48.86931900945277], [2.398228715113872, 48.86931774497657], [2.398229565401126, 48.86931648028741], [2.398230416509064, 48.86931514455478], [2.398231267053702, 48.869313739570394], [2.398231265302397, 48.86931247509419], [2.398232116152658, 48.869311279656756], [2.398232114401333, 48.86931001518057], [2.398232963878045, 48.86930882063557], [2.398232962679466, 48.8693076263104], [2.39823381352971, 48.86930643087297], [2.398234664369424, 48.86930523633481], [2.398234663170909, 48.869304042009624], [2.398235513200235, 48.86930291761567], [2.398235511191371, 48.86930179343469], [2.398236362583844, 48.86930066904754], [2.398236359671622, 48.869298560987644], [2.398237210806572, 48.86929757689574], [2.398238060217504, 48.8692956799684], [2.398238058696001, 48.86929392355614], [2.398238908144824, 48.86929237737031], [2.398238906918619, 48.86929083140432], [2.39823975632938, 48.86928893447697], [2.398240604902256, 48.86928675605296], [2.398240603703503, 48.869285561727786], [2.398241454000331, 48.86928429613921], [2.39824145224878, 48.86928303166298], [2.398242303345376, 48.86928169682952], [2.398242301051312, 48.86928036130295], [2.398243152147944, 48.86927902646945], [2.398244001338838, 48.869277620578806], [2.398243999844659, 48.869276215807325], [2.3982448498458, 48.86927473977246], [2.398245700399778, 48.86927333388861], [2.398245698905554, 48.869271929117126], [2.398246549459464, 48.86927052323327], [2.398247400002938, 48.8692691182487], [2.398247397155856, 48.86926771257111], [2.398248248252151, 48.86926637773755], [2.398249097995591, 48.86926504199787], [2.398249096243855, 48.8692637775216], [2.398249946529631, 48.86926251283226], [2.398250797378749, 48.86926131739465], [2.398250796179762, 48.869260123069445], [2.398251646208126, 48.869258998675306], [2.398252497046657, 48.869257804136986], [2.398252496400627, 48.86925667996281], [2.398253346428797, 48.869255555568635], [2.39825419645703, 48.869254431174475], [2.398255048401224, 48.86925337693821], [2.398255046391838, 48.86925225275717], [2.398255896419982, 48.869251128363025], [2.398256747821575, 48.869250003076395], [2.398257598659842, 48.86924880853802], [2.398258448687874, 48.86924768414381], [2.398259299526064, 48.86924648960543], [2.398260150374705, 48.86924529416773], [2.398260147812406, 48.86924409983567], [2.398261850134884, 48.86924283493302], [2.398262700430499, 48.869241569344275], [2.398263551525975, 48.86924023451058], [2.398264402374315, 48.86923903907285], [2.398265252659417, 48.86923777438338], [2.398266102954866, 48.869236508794586], [2.398266953792698, 48.86923531425613], [2.398267804077678, 48.869234049566614], [2.398268653562722, 48.86923285412199], [2.398269504400435, 48.86923165958351], [2.398270355238211, 48.869230465045035], [2.398271205265567, 48.86922934065073], [2.398272056666575, 48.86922821536399], [2.398272906693858, 48.86922709096966], [2.398273757274026, 48.869226036726396], [2.398274607854261, 48.869224982483104], [2.398275458987286, 48.86922399839085], [2.398276310120278, 48.869223014298576], [2.398278012118436, 48.869221187308604], [2.398278861011856, 48.86921957097133], [2.398279712374284, 48.86921809494299], [2.398281413304563, 48.869216478392374], [2.39828311586555, 48.869214720654035], [2.398283966998246, 48.86921373656171], [2.398284817578074, 48.86921268231835], [2.398285668157766, 48.86921162807497], [2.398287370221246, 48.869210503467194], [2.398288220258399, 48.86920937817344], [2.398289071648223, 48.869208253785864], [2.398290774521875, 48.869207059033826], [2.39829162400585, 48.869205863589016], [2.398293326879365, 48.86920466883693], [2.398294177173592, 48.8692034032479], [2.398295879493914, 48.86920213834475], [2.398296730340991, 48.869200942906744], [2.398298432661272, 48.869199678003525], [2.398300134991757, 48.869198412201], [2.398300985828288, 48.86919721766227], [2.398302688158731, 48.86919595185972], [2.398303538995062, 48.86919475732097], [2.398305240487192, 48.869193210021734], [2.398306942521699, 48.869191733772816], [2.398308645109078, 48.86919032767493], [2.398310347143394, 48.869188851425946], [2.398312049730588, 48.869187445328016], [2.398313750944104, 48.869186040122464], [2.398315453531113, 48.86918463402447], [2.398317156671012, 48.86918329807749], [2.398318006411329, 48.869181962337215], [2.398319708187876, 48.869180626383375], [2.398321411317046, 48.8691792913356], [2.398323113093419, 48.8691779553817], [2.398323963386487, 48.86917668979242], [2.398325665705314, 48.86917542488881], [2.398327368844548, 48.86917408894167], [2.398329071173595, 48.86917282313871], [2.398329921456047, 48.869171558448684], [2.398331623784948, 48.869170292645684], [2.398333326656282, 48.86916909789301], [2.39833502898502, 48.86916783208995], [2.39833672991184, 48.86916621553848], [2.398382764375338, 48.86918768836896], [2.398384465301427, 48.86918607181684]]], ""type"": ""Polygon""}";1387;20;750077104
48.8496553345,2.34300276528;"{""coordinates"": [[[2.342850159841694, 48.849641207428114], [2.342899565024839, 48.84972874344721], [2.342937889080435, 48.84971960779543], [2.343059670558064, 48.84968995288707], [2.343080961104854, 48.84968517458251], [2.343105657782772, 48.84967948234122], [2.343108212877029, 48.84968208202275], [2.343152497266033, 48.84967069735604], [2.343151645198878, 48.84966823833124], [2.343155051320813, 48.84966732529622], [2.343114164434594, 48.849598265786], [2.343104793774901, 48.8495817569915], [2.343012820095332, 48.849604594815276], [2.342850159841694, 48.849641207428114]]], ""type"": ""Polygon""}";4637;5;750008506
48.8720356035,2.36377519114;"{""coordinates"": [[[2.363754572790036, 48.87171763798901], [2.363690714456155, 48.87179900967262], [2.363605570205316, 48.871908840108055], [2.363542564095672, 48.87198915771165], [2.363535751600006, 48.871997519503054], [2.363518722689611, 48.87201979458247], [2.36351190887528, 48.872023800873365], [2.363510205659056, 48.87202450409203], [2.363488058483826, 48.872036873626584], [2.363357737837443, 48.872109900162016], [2.363332184289224, 48.87212388744469], [2.363262337668424, 48.872162825960395], [2.36333990856946, 48.872228988234724], [2.363507834217395, 48.87237220052236], [2.363678193930228, 48.872284551223224], [2.36384344187146, 48.8721993611787], [2.364080240257098, 48.87207762155094], [2.364248894647155, 48.87199102538366], [2.364290632958687, 48.87196958651394], [2.36431106639257, 48.87194133891845], [2.364312750182672, 48.87190670267819], [2.363754572790036, 48.87171763798901]]], ""type"": ""Polygon""}";1170;10;750023248
48.8697247673,2.3516700928;"{""coordinates"": [[[2.351593056670603, 48.8696820562561], [2.351576891067381, 48.86975400046622], [2.351657830674545, 48.869759539977764], [2.351775399279333, 48.86974006300146], [2.351787326363672, 48.86973591688208], [2.351792433810644, 48.8697205298449], [2.351785615956794, 48.86971385668818], [2.351593056670603, 48.8696820562561]]], ""type"": ""Polygon""}";1425;2;750002144
48.8662419263,2.34926045049;"{""coordinates"": [[[2.349239012674857, 48.866206295030366], [2.349141045561617, 48.86622380045077], [2.349176844269945, 48.866297002937614], [2.349379593568643, 48.86625967362586], [2.3493693655585, 48.86623719289209], [2.349343795272511, 48.86618696314183], [2.349239012674857, 48.866206295030366]]], ""type"": ""Polygon""}";2177;2;750002988
48.8722979232,2.32798360796;"{""coordinates"": [[[2.328164624936881, 48.87235810230808], [2.328151017623537, 48.87222194489175], [2.327800830051189, 48.872237937779104], [2.327814442318403, 48.87234395476231], [2.327817845288448, 48.87237416473896], [2.327862151695136, 48.87237213101018], [2.328164624936881, 48.87235810230808]]], ""type"": ""Polygon""}";1171;9;750017939
48.8689561349,2.35305117902;"{""coordinates"": [[[2.353054871519679, 48.869074842461785], [2.353130692538248, 48.86905930514327], [2.353102552411623, 48.868981676629225], [2.35309658308908, 48.86896572962762], [2.353092319915076, 48.86895378671982], [2.353052241046652, 48.86884110209386], [2.352969603730287, 48.86885425163884], [2.353054871519679, 48.869074842461785]]], ""type"": ""Polygon""}";1519;2;750001744
48.854244987,2.33601899576;"{""coordinates"": [[[2.336087165206051, 48.854306091887224], [2.336084611034164, 48.85425059023634], [2.336022436221018, 48.85416839047925], [2.335926191231293, 48.85420211279031], [2.33603095070743, 48.85432737976574], [2.336087165206051, 48.854306091887224]]], ""type"": ""Polygon""}";3599;6;750010011
48.87414706,2.36450699752;"{""coordinates"": [[[2.364690706791485, 48.87435130297205], [2.36471967033938, 48.874338368656154], [2.36474778089689, 48.87432550445134], [2.364936040746929, 48.874241993697986], [2.364715268097774, 48.87408383239024], [2.364630027010381, 48.87402287175977], [2.364559278530481, 48.87397244547629], [2.364434828883089, 48.873883391743995], [2.364124722710781, 48.8739645422029], [2.364128987315537, 48.87397191782748], [2.364180154299689, 48.87405150564914], [2.364289263467191, 48.87413248396941], [2.364217710474551, 48.87417121246902], [2.364538223613834, 48.874418785546084], [2.364690706791485, 48.87435130297205]]], ""type"": ""Polygon""}";1015;10;750022142
48.8689626976,2.3515101608;"{""coordinates"": [[[2.351504209418098, 48.86885606985957], [2.351443748643771, 48.86895717626508], [2.351399466601758, 48.86902785925689], [2.351524718910063, 48.869066483824525], [2.351532385144932, 48.869064023392], [2.351576660913374, 48.86896776755384], [2.351572398933796, 48.86896221801309], [2.35161412365494, 48.868885914607986], [2.351504209418098, 48.86885606985957]]], ""type"": ""Polygon""}";1520;2;750003321
48.8541827979,2.34126981532;"{""coordinates"": [[[2.34123243085717, 48.85430212875236], [2.341357633808709, 48.854289196375525], [2.341309920535802, 48.85408946147764], [2.341301399786298, 48.854054755257884], [2.341183013270832, 48.854084056480474], [2.341196645047693, 48.85414040143083], [2.341198349649737, 48.854148621020485], [2.341206869231696, 48.854184169933326], [2.34123243085717, 48.85430212875236]]], ""type"": ""Polygon""}";3604;6;750010099
48.8743236909,2.34828685259;"{""coordinates"": [[[2.348550836832008, 48.874333216306496], [2.348536336661581, 48.87426556120156], [2.348466467730351, 48.874270065235336], [2.348426421301492, 48.87427252818567], [2.348042144958833, 48.87429743847775], [2.348059207683826, 48.87439101750257], [2.348208315828214, 48.87437596698192], [2.348241546273158, 48.874372450742385], [2.348244952049539, 48.874367111035404], [2.348326749602761, 48.87435965569405], [2.348532946438446, 48.874341929748596], [2.348537206483997, 48.87434164805767], [2.348550836832008, 48.874333216306496]]], ""type"": ""Polygon""}";1018;10;750023139
48.8672810787,2.27623609015;"{""coordinates"": [[[2.276406203560737, 48.8673836888075], [2.276384099435535, 48.867346160200135], [2.276380698598493, 48.86734004654307], [2.276353492472001, 48.86729394415631], [2.276259124518364, 48.86713118206562], [2.276065676946626, 48.867177096714116], [2.276214455787156, 48.867432204994394], [2.276406203560737, 48.8673836888075]]], ""type"": ""Polygon""}";1904;16;750050820
48.8541381378,2.33611797894;"{""coordinates"": [[[2.33618000515414, 48.85416747771743], [2.336120385842242, 48.854088580223525], [2.336053951695675, 48.85411113166677], [2.336119532614929, 48.85418785165551], [2.33618000515414, 48.85416747771743]]], ""type"": ""Polygon""}";3629;6;750011428
48.873756283,2.39396021386;"{""coordinates"": [[[2.394451973945415, 48.873825233935385], [2.394429807023528, 48.87381337200652], [2.393869656645828, 48.87350881413701], [2.393737506244131, 48.8734369392585], [2.39352312866535, 48.87373556342759], [2.393537623054882, 48.87374384597876], [2.394118222953461, 48.874047622098466], [2.394163347261169, 48.87401745931921], [2.394165050944572, 48.874016685521845], [2.394271476370555, 48.873945182116124], [2.394451973945415, 48.873825233935385]]], ""type"": ""Polygon""}";1034;20;750072906
48.8676162934,2.33240176988;"{""coordinates"": [[[2.332605833182529, 48.8677209598779], [2.332553873185055, 48.86761908652435], [2.332549614463586, 48.86760791630465], [2.332547059578325, 48.86760623017643], [2.332535985321416, 48.867584801801854], [2.332537689739244, 48.86758423932401], [2.332515543053336, 48.867544965567944], [2.332503616753753, 48.86752311604094], [2.332499359065999, 48.86750899417652], [2.33247124919123, 48.86746157057072], [2.332199470667186, 48.86751860808982], [2.332246319514954, 48.867611839177265], [2.332323833122351, 48.86776844270423], [2.332438848554366, 48.86774280362653], [2.33249933866053, 48.86772931627825], [2.332507005587806, 48.86774175199666], [2.332512969187326, 48.86774126003814], [2.332605833182529, 48.8677209598779]]], ""type"": ""Polygon""}";1813;1;750000527
48.8517394096,2.3394360339;"{""coordinates"": [[[2.339373848513767, 48.851777618229704], [2.339494787700156, 48.85179012054116], [2.339520334228372, 48.85172028534859], [2.339397690398596, 48.85167413052754], [2.339349149564195, 48.8517762839139], [2.339373848513767, 48.851777618229704]]], ""type"": ""Polygon""}";4227;6;750009608
48.8739368722,2.34431170389;"{""coordinates"": [[[2.344258924660257, 48.87399685400658], [2.344381622209528, 48.87399635334925], [2.344358597103257, 48.87386834859436], [2.344287877555596, 48.873874044348305], [2.344264873710119, 48.87389132861725], [2.344239312503171, 48.873892665302975], [2.344244429069994, 48.873920838110685], [2.344258924660257, 48.87399685400658]]], ""type"": ""Polygon""}";1040;9;750019102
48.8677074598,2.27611266968;"{""coordinates"": [[[2.275983334450828, 48.86763013361107], [2.276073451594072, 48.86778565735088], [2.276083653127657, 48.867803086394225], [2.276121909822268, 48.867869779711846], [2.276123610648706, 48.8678721696774], [2.276158555077913, 48.86786045474239], [2.276223330558801, 48.867838288084215], [2.276242082337113, 48.86783197562562], [2.276256596885439, 48.867806550645895], [2.276160526510516, 48.86764146873214], [2.276106967991037, 48.86754807020507], [2.276084810021187, 48.86755395913303], [2.275957827331918, 48.86758803633474], [2.275983334450828, 48.86763013361107]]], ""type"": ""Polygon""}";1775;16;750047872
48.8516020364,2.34722681008;"{""coordinates"": [[[2.347337885928611, 48.85161962394767], [2.347200749168253, 48.851540598597694], [2.347114738767673, 48.85158367340651], [2.347254430406959, 48.851664033044216], [2.347337885928611, 48.85161962394767]]], ""type"": ""Polygon""}";4270;5;750009233
48.871790694,2.34749455673;"{""coordinates"": [[[2.347812409169522, 48.871861691125865], [2.347815771370635, 48.87164804262228], [2.347140986008247, 48.87172552947694], [2.347216007651729, 48.87193544691405], [2.347448604911744, 48.871906689833885], [2.34752017270715, 48.87189790131729], [2.347588332720098, 48.87188939366405], [2.347812409169522, 48.871861691125865]]], ""type"": ""Polygon""}";1201;9;750020139
48.8679735783,2.36002490336;"{""coordinates"": [[[2.359963132406515, 48.868157423552056], [2.360226370803059, 48.86811816631645], [2.360177758353078, 48.86801180848953], [2.360141936107394, 48.86792385567743], [2.360140231249193, 48.86792259108286], [2.360108673086815, 48.86784686241239], [2.36008308592125, 48.86778434010371], [2.359827521660953, 48.867833220556065], [2.359861639138549, 48.86791674769003], [2.359963132406515, 48.868157423552056]]], ""type"": ""Polygon""}";1705;3;750004249
48.8552023645,2.33885669231;"{""coordinates"": [[[2.338828048488892, 48.855269907679066], [2.338959215662104, 48.85522185053619], [2.338950698110319, 48.85521299791103], [2.338885961909571, 48.85513522660221], [2.338754796832287, 48.85518194903854], [2.338828048488892, 48.855269907679066]]], ""type"": ""Polygon""}";3473;6;750011851
48.8717334351,2.35012815921;"{""coordinates"": [[[2.350288382404094, 48.87181891320905], [2.350196308728451, 48.87160689155233], [2.349999501324258, 48.87164485340339], [2.34998416927092, 48.87166157609486], [2.350037043904751, 48.871850417745314], [2.350161435361805, 48.87183480609758], [2.350206591359266, 48.87182925050287], [2.350273046876559, 48.8718211628536], [2.350288382404094, 48.87181891320905]]], ""type"": ""Polygon""}";1202;10;750022337
48.867381948,2.33637580211;"{""coordinates"": [[[2.336545271723391, 48.86746740084408], [2.336627910690348, 48.86744829097764], [2.336606612179308, 48.86740726177633], [2.33656827495115, 48.86733475731712], [2.33654186595472, 48.8672851569034], [2.336518011571235, 48.86723963118101], [2.336489898455733, 48.867186728805684], [2.336479674017564, 48.8671688839976], [2.336363809855975, 48.86719698645024], [2.336383404190375, 48.86723394032078], [2.336344214644765, 48.86724356544558], [2.336374883749571, 48.86730384495437], [2.336335694025437, 48.86731283783625], [2.336310135806741, 48.86731866955644], [2.336108222667205, 48.86736482645319], [2.336190006981357, 48.867548967460856], [2.336381697227947, 48.867503511895976], [2.336545271723391, 48.86746740084408]]], ""type"": ""Polygon""}";1884;2;750002117
48.8517940707,2.34660561906;"{""coordinates"": [[[2.346620815266287, 48.85183720185062], [2.346632739534645, 48.85184450767681], [2.346692364390927, 48.85188054306192], [2.346730679420579, 48.85182784767256], [2.346636133051339, 48.85177319741817], [2.346614839218747, 48.85176287165399], [2.34657225074633, 48.851740112919224], [2.346541586637089, 48.85172486955527], [2.346519441476064, 48.851713208976975], [2.346476010764256, 48.85174370364975], [2.346510937131358, 48.851778337033124], [2.34651604753008, 48.851781498299204], [2.346563746563795, 48.851806645771475], [2.346620815266287, 48.85183720185062]]], ""type"": ""Polygon""}";4187;5;750007380
48.8716479658,2.34875668297;"{""coordinates"": [[[2.348687386607779, 48.87163874892983], [2.348700167314334, 48.87163867727658], [2.348702762796925, 48.87180595590221], [2.348823744577706, 48.87178240750912], [2.348822018787426, 48.871691988451026], [2.348821155413277, 48.87164098312465], [2.348818567579921, 48.87150883181754], [2.348694173052118, 48.87150912630597], [2.348683948125619, 48.87150912732748], [2.348685671752685, 48.87159195866625], [2.348687386607779, 48.87163874892983]]], ""type"": ""Polygon""}";1206;10;750021396
48.8675744969,2.35879995952;"{""coordinates"": [[[2.359019798346377, 48.867677625676144], [2.358957534057775, 48.86751316865997], [2.358920003638841, 48.86741334216416], [2.358583505365509, 48.86746216596406], [2.358601418600587, 48.86751337874665], [2.35867818879878, 48.86773178963644], [2.358681596464808, 48.86773115677226], [2.35868500811979, 48.86774127285928], [2.358868163594368, 48.867706952248845], [2.358878386818407, 48.867704701998434], [2.358968685440108, 48.86768740117745], [2.359019798346377, 48.867677625676144]]], ""type"": ""Polygon""}";1826;3;750004186
48.8504436569,2.33762957121;"{""coordinates"": [[[2.337584451829289, 48.850523301882], [2.337609150332269, 48.85052140517329], [2.337776926294614, 48.85050826524924], [2.3379617369241, 48.85049350967015], [2.337936183549078, 48.8503409847336], [2.337798216043838, 48.8503520864366], [2.337582746336163, 48.85036930174576], [2.337494175050161, 48.85037632817387], [2.337492471071744, 48.85037604713261], [2.337323842557373, 48.85039002913036], [2.337294887411855, 48.85054543512584], [2.337584451829289, 48.850523301882]]], ""type"": ""Polygon""}";4530;6;750009695
48.8714680674,2.35158194943;"{""coordinates"": [[[2.351722265638855, 48.871569603468565], [2.351619102400533, 48.8713326435054], [2.351441040588663, 48.87136716317042], [2.351522888147064, 48.87155227602359], [2.351545907440556, 48.871603559633925], [2.351722265638855, 48.871569603468565]]], ""type"": ""Polygon""}";1224;10;750021637
48.8676627767,2.33671500852;"{""coordinates"": [[[2.33668072961542, 48.86772559057489], [2.336801707805504, 48.867697628578455], [2.33675996220125, 48.86762371942771], [2.336748035548199, 48.86760004376617], [2.336702029815973, 48.86761030124508], [2.336685842329731, 48.86761409490091], [2.33662961342554, 48.867627162802236], [2.336661987250101, 48.86768807400757], [2.33668072961542, 48.86772559057489]]], ""type"": ""Polygon""}";1836;2;750001974
48.8504171597,2.34579701502;"{""coordinates"": [[[2.346002246248718, 48.85046895230707], [2.346049085220335, 48.8504546864097], [2.346047381020157, 48.85045159589895], [2.346030341747315, 48.85041927971404], [2.345995412585572, 48.85035499793012], [2.345983485122918, 48.85033223656393], [2.345964743112884, 48.85030041199998], [2.345940045247256, 48.85030652661997], [2.345905129415189, 48.85031524117561], [2.345868509873383, 48.85032451749813], [2.345808897001332, 48.850339276480454], [2.345781644634977, 48.85034609298856], [2.345758651545805, 48.8503522078991], [2.345708405672239, 48.850364085248124], [2.345636017454063, 48.85038074117465], [2.345458879207746, 48.85042164450607], [2.345483585598654, 48.85046878364511], [2.34549551247412, 48.85049049190937], [2.345636882582772, 48.850456617443236], [2.345638586201488, 48.85045823301169], [2.345641141237607, 48.85045781169676], [2.345708419342447, 48.85044038225629], [2.345740783154879, 48.85044586004269], [2.345768896889032, 48.850497003701406], [2.345788490429833, 48.850527212305984], [2.346002246248718, 48.85046895230707]]], ""type"": ""Polygon""}";4531;5;750008137
48.8713580792,2.34542585539;"{""coordinates"": [[[2.345476936436765, 48.871435867650064], [2.345545096587633, 48.871426026538764], [2.345558733650605, 48.87145588453381], [2.345587701796139, 48.87145173687388], [2.345617521528511, 48.87144751921733], [2.345605588188635, 48.87141660752372], [2.345592802242678, 48.87138302642284], [2.345577458778351, 48.87134347321046], [2.345539953221924, 48.87124652346306], [2.345243460179873, 48.871295373833675], [2.345280975912819, 48.871456116596754], [2.345288644293752, 48.8714552726912], [2.345363619972169, 48.87144725774864], [2.345476936436765, 48.871435867650064]]], ""type"": ""Polygon""}";1244;9;750020290
48.8675451848,2.27592795942;"{""coordinates"": [[[2.276106967991037, 48.86754807020507], [2.276043205432336, 48.86743871751179], [2.275857422396189, 48.86748646338905], [2.275752597989803, 48.867513455355365], [2.275813829975172, 48.86760250265705], [2.275858051742404, 48.86766674006823], [2.275875097675808, 48.867661831123236], [2.275913448876414, 48.86765040037884], [2.27594412989436, 48.86764156461153], [2.275983334450828, 48.86763013361107], [2.275957827331918, 48.86758803633474], [2.276084810021187, 48.86755395913303], [2.276106967991037, 48.86754807020507]]], ""type"": ""Polygon""}";1852;16;750049043
48.8511299081,2.34888809088;"{""coordinates"": [[[2.349006211150386, 48.85114958180377], [2.349099026450987, 48.85108184453841], [2.349045355506648, 48.85101728547348], [2.348926992394798, 48.85109830387326], [2.348918478239727, 48.85110371393519], [2.348867387756387, 48.851144468123586], [2.348835018320688, 48.85112367602809], [2.348832464039964, 48.85112479981213], [2.348824797503027, 48.8511197423801], [2.348807761572083, 48.85110794184717], [2.34880946415337, 48.851105833130305], [2.348742173106935, 48.85106368729724], [2.348650206265893, 48.851122712350495], [2.348778822284046, 48.8511811510969], [2.348800967659431, 48.851191616917646], [2.348890403520066, 48.851234041508704], [2.349006211150386, 48.85114958180377]]], ""type"": ""Polygon""}";4389;5;750007475
48.8692183906,2.31703874698;"{""coordinates"": [[[2.316877302203187, 48.86922211956225], [2.316883263802936, 48.86922949763262], [2.316920730262086, 48.869278893899555], [2.316936909776088, 48.869300395124434], [2.31695991578486, 48.86929274079065], [2.317199353593974, 48.86921472721655], [2.317184878222827, 48.869194983173685], [2.317141450380064, 48.86913567997405], [2.31711162713896, 48.86914663471404], [2.316900309549336, 48.86921446524714], [2.316881563110901, 48.86922071482254], [2.316877302203187, 48.86922211956225]]], ""type"": ""Polygon""}";1487;8;750017023
48.8675669012,2.36014019051;"{""coordinates"": [[[2.360033539146846, 48.86749531732653], [2.360045484312417, 48.86753332351818], [2.360096661069487, 48.86766391892092], [2.360248295059439, 48.867635363325306], [2.360186026909245, 48.86747224156473], [2.360128099141333, 48.86748117621971], [2.360093170963941, 48.867486382834464], [2.360033539146846, 48.86749531732653]]], ""type"": ""Polygon""}";1855;3;750004394
48.8510672857,2.35928868723;"{""coordinates"": [[[2.359362552875759, 48.85121717543985], [2.359463033003737, 48.85117746097368], [2.359460476051524, 48.851175494785636], [2.359445138823599, 48.85115856596104], [2.35941190633284, 48.85112028327371], [2.35941190549267, 48.85111824533095], [2.359420420679085, 48.85111543366953], [2.359347144850163, 48.8510435066459], [2.359324990324038, 48.85101976466033], [2.359316470458772, 48.85101021105785], [2.35928068004081, 48.85096595730294], [2.359233813280816, 48.850910043435746], [2.359111193489039, 48.850953766269946], [2.359171691320935, 48.85102204287787], [2.359227079600402, 48.85108793217884], [2.35926372165992, 48.851131975559575], [2.359329334316096, 48.85121001678034], [2.359344671322474, 48.85122518827852], [2.359362552875759, 48.85121717543985]]], ""type"": ""Polygon""}";4391;4;750005597
48.86908334,2.34597663749;"{""coordinates"": [[[2.345855664705284, 48.869075662323375], [2.345873565812314, 48.86912765036833], [2.346099333351539, 48.86909229248315], [2.346072912134781, 48.869037987085115], [2.345855664705284, 48.869075662323375]]], ""type"": ""Polygon""}";1509;2;750001637
48.8674947375,2.33302189923;"{""coordinates"": [[[2.332959400679817, 48.86764291714614], [2.333042041822055, 48.86762472259602], [2.333156205556584, 48.8675996446701], [2.33310680054471, 48.86749714005682], [2.333107652329864, 48.86749545403594], [2.3331408791474, 48.86749004524831], [2.333065919422218, 48.867336112217096], [2.332913418117738, 48.86736856595526], [2.332961120037234, 48.86746467762652], [2.332918521175979, 48.86747423136883], [2.332916817622888, 48.867470788178], [2.332886146964794, 48.86747725079295], [2.332914256765261, 48.86753865550184], [2.332959400679817, 48.86764291714614]]], ""type"": ""Polygon""}";1860;1;750000520
48.8655005154,2.35928649217;"{""coordinates"": [[[2.3591679635562, 48.86559647744244], [2.359171370213733, 48.86559591470722], [2.359261666888775, 48.865580018416004], [2.359448221739273, 48.86554696158222], [2.359450777915361, 48.865546609230286], [2.359396221828047, 48.865474959739544], [2.359368095694162, 48.865443700906], [2.359323766251223, 48.86537914527522], [2.359229216220718, 48.86540473714673], [2.359253083542409, 48.86543711987702], [2.359167902832309, 48.86546123477467], [2.35919262324472, 48.865493969229725], [2.359208819067201, 48.86551623734717], [2.359125341770953, 48.86553971920265], [2.3591679635562, 48.86559647744244]]], ""type"": ""Polygon""}";2380;3;750003935
