Geo Point;Geo Shape;N_SQ_SPVP;N_SQ_CA;N_SQ_PC
48.8920198216,2.34969313213;"{""coordinates"": [[[2.349630666831186, 48.89213740700913], [2.349663054802715, 48.89212798893782], [2.349691181067764, 48.892119414660684], [2.349741466852389, 48.89210465466182], [2.349764478976502, 48.89209790789847], [2.349876983074339, 48.892064874197594], [2.349749079492087, 48.8918788518253], [2.349682594794469, 48.89187717327265], [2.349501946977107, 48.8920923172818], [2.349630666831186, 48.89213740700913]]], ""type"": ""Polygon""}";26;18;750062416
48.883355913,2.30838834654;"{""coordinates"": [[[2.308653592315102, 48.88338217031766], [2.30858117519161, 48.88334435514044], [2.308564129703299, 48.88334589708571], [2.30856157325315, 48.88334617730318], [2.308553050051585, 48.88334631514122], [2.308545380761221, 48.883345610738], [2.308540268274569, 48.88334490761077], [2.308532598911578, 48.88334307903928], [2.308525782462199, 48.88334068881306], [2.308518967170078, 48.883337595314295], [2.308515559159175, 48.883335767970536], [2.308509596063329, 48.88333155072937], [2.30850448537032, 48.88332691302633], [2.308500227091988, 48.883321853962116], [2.308496820095135, 48.883317075010645], [2.308434687807643, 48.88318006147875], [2.308398037199438, 48.883187780094765], [2.308213936135394, 48.88322665679285], [2.308214786818705, 48.88322862405444], [2.308156828316912, 48.883240833957224], [2.30815597763559, 48.88323886669527], [2.308152568773179, 48.88323956826251], [2.308230031072164, 48.88339429115787], [2.308247053692456, 48.883431531090594], [2.308332249748632, 48.88347609424746], [2.308333953505518, 48.883477078068424], [2.30839359061969, 48.8835095512711], [2.308405517787105, 48.88351657921119], [2.308448968526303, 48.88353991518616], [2.308458339956692, 48.883545116201546], [2.308507792662337, 48.88350381844996], [2.308545308840777, 48.883472212206996], [2.308555540190494, 48.88346420517341], [2.308594760909206, 48.88343105470989], [2.308653592315102, 48.88338217031766]]], ""type"": ""Polygon""}";627;17;750057273
48.8845984187,2.29811549607;"{""coordinates"": [[[2.298373086121793, 48.88466516707721], [2.298198440353624, 48.884582909395405], [2.298151584563686, 48.88456055159832], [2.298120063747403, 48.884545646525666], [2.297947973295265, 48.88446437292662], [2.297907886870259, 48.88450412404249], [2.298015192648802, 48.88460336158104], [2.298119091325921, 48.884697820664975], [2.298373086121793, 48.88466516707721]]], ""type"": ""Polygon""}";513;17;750056674
48.8845627952,2.33906420965;"{""coordinates"": [[[2.339083943728244, 48.88452563280302], [2.33894673333139, 48.88454109292086], [2.338943325034628, 48.884533505344166], [2.33887684992854, 48.884540531687534], [2.338877702626601, 48.88454221814249], [2.338974859503429, 48.88459518910236], [2.339196443419937, 48.88460600361407], [2.339181099791882, 48.884543757265384], [2.339173429365704, 48.884515373454775], [2.339083943728244, 48.88452563280302]]], ""type"": ""Polygon""}";525;18;750059603
48.8842300621,2.39508968952;"{""coordinates"": [[[2.39551830784438, 48.88431269486468], [2.395493535124346, 48.88426282544231], [2.395527615090987, 48.88425522014574], [2.395455869520632, 48.88412106894919], [2.39533647457362, 48.88405045268622], [2.394862553928346, 48.883983672032215], [2.394719031341924, 48.88441792659808], [2.394760878966823, 48.88449350065438], [2.394889531104119, 48.88446280317172], [2.395074416290914, 48.88441858774333], [2.395307863989848, 48.884362825359304], [2.395436516580394, 48.88433226758544], [2.39551830784438, 48.88431269486468]]], ""type"": ""Polygon""}";539;19;750067945
48.8838885215,2.3768217999;"{""coordinates"": [[[2.376752626471999, 48.88400807622364], [2.376860911828385, 48.88407351637692], [2.377089174066199, 48.88390468018871], [2.377099394957959, 48.88389666730388], [2.377052498267008, 48.88386745779397], [2.377049941552362, 48.883866194427156], [2.377029477542499, 48.88385341463797], [2.376969790930169, 48.88381591959735], [2.376891346572079, 48.883766767856734], [2.376791585450954, 48.88370455659695], [2.376539464834344, 48.883878177437765], [2.376633255437508, 48.883935192079655], [2.376643486518702, 48.883941371561015], [2.376665655857722, 48.88395499307033], [2.376692940073413, 48.883971704310234], [2.376752626471999, 48.88400807622364]]], ""type"": ""Polygon""}";590;19;750067676
48.8829453077,2.31125026829;"{""coordinates"": [[[2.311157577853014, 48.883081214124424], [2.311368918905336, 48.883099246532886], [2.31138429613473, 48.88302534051003], [2.311386858774, 48.88301438068143], [2.311400528038954, 48.88294918656535], [2.31133408776752, 48.8828853798053], [2.311212282729336, 48.88276830621961], [2.311063962394201, 48.882835859751864], [2.311163623737266, 48.88292805731688], [2.311182362996312, 48.882945765991366], [2.311168689282225, 48.883019110719395], [2.311166980099704, 48.88302739993634], [2.311157577853014, 48.883081214124424]]], ""type"": ""Polygon""}";649;17;750057199
48.8828312627,2.37129007236;"{""coordinates"": [[[2.371462019487768, 48.88286071472007], [2.371294889057951, 48.88272067606455], [2.371182436049112, 48.882776914937494], [2.3711815845549, 48.88277831971245], [2.371172220786641, 48.882794341525184], [2.371128808193611, 48.88286756072783], [2.371324001262458, 48.882918647837364], [2.371348714458674, 48.88291737555118], [2.371462019487768, 48.88286071472007]]], ""type"": ""Polygon""}";657;19;750066118
48.8870758015,2.30540517518;"{""coordinates"": [[[2.305646317971776, 48.887090347881035], [2.305619908797283, 48.88707207411131], [2.305527902314786, 48.8870081160886], [2.305489563125513, 48.88698688893811], [2.305386470758888, 48.886933185420574], [2.305215072383774, 48.88707365033107], [2.305269556291704, 48.88717075875472], [2.305485168690919, 48.88719765491091], [2.305508231693937, 48.88711518065288], [2.305508233049769, 48.88711405649719], [2.305515904538703, 48.88711279426577], [2.305610518050564, 48.887096520121474], [2.305641203646176, 48.88709118967403], [2.305646317971776, 48.887090347881035]]], ""type"": ""Polygon""}";196;17;750054534
48.8859185469,2.3027292633;"{""coordinates"": [[[2.302853323182832, 48.88592823058756], [2.302837135921938, 48.88591937414266], [2.302690601880094, 48.88583839573242], [2.302607034882956, 48.88590370955092], [2.302761228002594, 48.88600084868985], [2.302791926573862, 48.88597598645242], [2.302815803244555, 48.885957586654655], [2.302853323182832, 48.88592823058756]]], ""type"": ""Polygon""}";356;17;750053313
