Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
2329;75, RUE DE REUILLY;75012;Paris;2013;PARIS HAB;34;34;0;0;0;construction neuve;;12;Centre d'hébergement d'urgence;655182.5264;6860738.6509;"{""coordinates"": [2.389317505491529, 48.84513410142324], ""type"": ""Point""}";48.84513410142324,2.389317505491529
2350;6, PLACE POSSOZ;75016;Paris;2013;PARIS HAB;45;9;25;0;11;acquisition réhabilitation;;16;logement familial;646958.9231;6862396.1215;"{""coordinates"": [2.2770617676357, 48.85941507865217], ""type"": ""Point""}";48.85941507865217,2.2770617676357
2363;33-35, RUE DE NANTES;75019;Paris;2013;PARIS HAB;20;0;0;0;20;construction neuve;;19;logement familial;654624.3417;6865987.5132;"{""coordinates"": [2.381151478970658, 48.89229718756778], ""type"": ""Point""}";48.89229718756778,2.381151478970658
2366;147, RUE D'AVRON;75020;Paris;2013;PARIS HAB;7;0;7;0;0;construction neuve;;20;logement familial;656718.5461;6861658.776;"{""coordinates"": [2.410152850055224, 48.85351380429911], ""type"": ""Point""}";48.85351380429911,2.410152850055224
2151;9 RUE DE LA TOMBE ISSOIRE;75014;Paris;2012;PARIS HAB;13;0;13;0;0;acquisition réhabilitation;;14;résidence pour étudiants;651242.0903;6859373.0157;"{""coordinates"": [2.335784113473601, 48.832566783368655], ""type"": ""Point""}";48.832566783368655,2.335784113473601
2167;10, RUE LAPLACE;75005;Paris;2012;RIVP;12;2;8;0;2;acquisition réhabilitation;;5;logement familial;652119.1402;6861006.9655;"{""coordinates"": [2.347547462948928, 48.8473267051398], ""type"": ""Point""}";48.8473267051398,2.347547462948928
2173;118 RUE RAMBUTEAU;75001;Paris;2012;RIVP;1;0;1;0;0;construction neuve;;1;logement familial;652119.7193;6862714.5448;"{""coordinates"": [2.347363040615875, 48.862682863384904], ""type"": ""Point""}";48.862682863384904,2.347363040615875
2180;147 À 171 BD VINCENT AURIOL 202-210 RUE DU CHATEAU DES RENTIERS;75013;Paris;2012;RIVP;375;0;0;0;375;acquisition conventionnement;;13;logement familial;653064.2215;6859249.4407;"{""coordinates"": [2.360619041426297, 48.8315907278793], ""type"": ""Point""}";48.8315907278793,2.360619041426297
2190;32, BD DE REUILLY;75012;Paris;2012;RIVP;21;6;9;0;6;acquisition réhabilitation;;12;logement familial;655440.5353;6860064.7851;"{""coordinates"": [2.392903587841838, 48.83909187913497], ""type"": ""Point""}";48.83909187913497,2.392903587841838
2193;53-55 RUE SEBASTIEN MERCIER;75015;Paris;2012;RIVP;9;0;9;0;0;acquisition conventionnement;;15;logement familial;647241.6117;6860607.0116;"{""coordinates"": [2.28113653081589, 48.84334904433678], ""type"": ""Point""}";48.84334904433678,2.28113653081589
