Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
15843;13, RUE JULES SIMON LECOURBE 2;75015;Paris;2019;ELOGIE SIEMP;58;58;0;0;0;acquisition conventionnement;;15;logement familial;648121.143;6860260.595;"{""coordinates"": [2.293162257791498, 48.84030514051931], ""type"": ""Point""}";48.84030514051931,2.293162257791498
15850;48,58,61 RUE DE LA CHINE;75020;Paris;2019;PARIS HAB;68;68;0;0;0;acquisition conventionnement;;20;logement familial;655739.45;6863436.712;"{""coordinates"": [2.39662492733117, 48.869436099719906], ""type"": ""Point""}";48.869436099719906,2.39662492733117
15865;14-16, RUE DU RENDEZ VOUS 4-8, CITE DU RENDEZ VOUS;75012;Paris;2019;ELOGIE SIEMP;13;13;0;0;0;acquisition réhabilitation;;12;logement familial;656295.015;6860750.335;"{""coordinates"": [2.404474482378847, 48.845315592578146], ""type"": ""Point""}";48.845315592578146,2.404474482378847
2362;25-31, RUE PRADIER;75019;Paris;2013;PARIS HAB;2;0;2;0;0;acquisition conventionnement;;19;logement familial;654701.8898;6864211.848;"{""coordinates"": [2.382398472209255, 48.876334609317915], ""type"": ""Point""}";48.876334609317915,2.382398472209255
2373;60, RUE NOTRE DAME DE NAZARETH;75003;Paris;2013;RIVP;2;0;2;0;0;acquisition réhabilitation;;3;logement familial;652838.6155;6863264.2491;"{""coordinates"": [2.357100587146874, 48.86767930055678], ""type"": ""Point""}";48.86767930055678,2.357100587146874
2171;11-13 BD JULES FERRY;75011;Paris;2012;RIVP;9;2;5;0;2;construction neuve;;11;logement familial;653627.0186;6863230.9396;"{""coordinates"": [2.367851193600906, 48.86743699797592], ""type"": ""Point""}";48.86743699797592,2.367851193600906
2194;55-57 BD DE MENILMONTANT;75011;Paris;2012;RIVP;15;0;15;0;0;acquisition réhabilitation;;11;logement familial;655069.4546;6862609.9434;"{""coordinates"": [2.387579095525505, 48.86195469202713], ""type"": ""Point""}";48.86195469202713,2.387579095525505
2196;5-7, RUE DU SAHEL;75012;Paris;2012;RIVP;8;3;5;0;0;construction neuve;;12;logement familial;656095.7335;6860293.3609;"{""coordinates"": [2.401806340834638, 48.84119245038071], ""type"": ""Point""}";48.84119245038071,2.401806340834638
2222;179, RUE SAINT MAUR;75010;Paris;2012;SIEMP;14;4;10;0;0;construction neuve;;10;logement familial;653978.362;6863597.7107;"{""coordinates"": [2.372600721371216, 48.87076050505745], ""type"": ""Point""}";48.87076050505745,2.372600721371216
2226;6, RUE JULIEN LACROIX;75020;Paris;2012;SIEMP;21;3;5;0;13;acquisition réhabilitation;;20;logement familial;654962.3062;6863370.928;"{""coordinates"": [2.38603803123538, 48.86879064222959], ""type"": ""Point""}";48.86879064222959,2.38603803123538
2249;8-10 ET 43-45, RUE DAVY;75017;Paris;2013;COOP.FAM.;39;39;0;0;0;construction neuve;;17;foyer pour jeunes travailleurs ou résidence pour jeunes;650566.8554;6865863.5388;"{""coordinates"": [2.325831127629786, 48.89088358328013], ""type"": ""Point""}";48.89088358328013,2.325831127629786
2540;18, RUE DU PETIT MUSC;75004;Paris;2014;PARIS HAB;15;4;7;0;4;acquisition conventionnement;;4;logement familial;653307.6771;6861544.5652;"{""coordinates"": [2.363683418108272, 48.852248547011634], ""type"": ""Point""}";48.852248547011634,2.363683418108272
2544;16, RUE PASCAL;75005;Paris;2014;PARIS HAB;23;6;10;0;7;acquisition conventionnement;;5;logement familial;652247.821;6859996.2203;"{""coordinates"": [2.349414338782012, 48.838246607408806], ""type"": ""Point""}";48.838246607408806,2.349414338782012
2546;85, RUE SAINT LAZARE;75009;Paris;2014;PARIS HAB;17;6;9;0;2;construction neuve;;9;logement familial;650868.0853;6864193.5785;"{""coordinates"": [2.330132304374441, 48.875889243733866], ""type"": ""Point""}";48.875889243733866,2.330132304374441
2556;1-3, RUE DU SOUDAN;75015;Paris;2014;PARIS HAB;53;13;24;0;16;acquisition conventionnement;;15;logement familial;648368.0651;6861341.0825;"{""coordinates"": [2.29639516394696, 48.850041735228004], ""type"": ""Point""}";48.850041735228004,2.29639516394696
3435;2, QUAI DE GEVRES;75004;Paris;2018;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;4;logement familial;652336.351;6862003.325;"{""coordinates"": [2.350395478364119, 48.856303013844574], ""type"": ""Point""}";48.856303013844574,2.350395478364119
3436;158 BD VINCENT AURIOL;75013;Paris;2018;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;13;logement familial;652974.623;6859326.476;"{""coordinates"": [2.359390029063761, 48.83227698405011], ""type"": ""Point""}";48.83227698405011,2.359390029063761
13841;ZAC PAUL MEURICE LOT E2 RUE DES FRERES FLAVIEN;75020;Paris;2019;ELOGIE SIEMP;8;8;0;0;0;construction neuve;;20;logement familial;656853.504;6864047.118;"{""coordinates"": [2.411749536156275, 48.87500097096502], ""type"": ""Point""}";48.87500097096502,2.411749536156275
3020;26, BD DE REUILLY;75012;Paris;2016;SIEMP;15;9;6;0;0;construction neuve;;12;logement familial;655399.531;6860059.968;"{""coordinates"": [2.392345455542407, 48.839045722044865], ""type"": ""Point""}";48.839045722044865,2.392345455542407
3025;68, RUE DU MOULIN VERT;75014;Paris;2016;SIEMP;1;1;0;0;0;acquisition réhabilitation;;14;logement familial;650127.282;6859214.89;"{""coordinates"": [2.320616654221839, 48.83105944785172], ""type"": ""Point""}";48.83105944785172,2.320616654221839
3042;12 BIS, RUE DU VAL DE GRACE;75005;Paris;2016;SNL;2;2;0;0;0;acquisition réhabilitation;;5;logement familial;651513.695;6860349.657;"{""coordinates"": [2.339372630481056, 48.84137025964163], ""type"": ""Point""}";48.84137025964163,2.339372630481056
3069;12-16, RUE DE BEARN 35-37, RUE DES TOURNELLES (CASERNE DES MINIMES);75003;Paris;2017;ELOGIE SIEMP;13;4;5;0;4;construction neuve;;3;logement familial;653574.794;6862089.933;"{""coordinates"": [2.367263940532494, 48.857172307344165], ""type"": ""Point""}";48.857172307344165,2.367263940532494
3070;16, RUE VERON 31, RUE GERMAIN PILON;75018;Paris;2017;ELOGIE SIEMP;25;25;0;0;0;construction neuve;;18;maison relais;651344.899;6865155.467;"{""coordinates"": [2.336522714938862, 48.884575417583584], ""type"": ""Point""}";48.884575417583584,2.336522714938862
3102;67 AVENUE DE FLANDRE;75019;Paris;2017;IMM 3F;18;0;0;0;18;construction neuve;;19;logement familial;654080.931;6865586.686;"{""coordinates"": [2.373783922006651, 48.88865416032987], ""type"": ""Point""}";48.88865416032987,2.373783922006651
3112;DEBERGUE RENDEZ-VOUS - 81 AVENUE DU DOCTEUR ARNOLD NETTER;75012;Paris;2017;LOGIS.TR.;48;19;16;0;13;construction neuve;;12;logement familial;656403.756;6860873.704;"{""coordinates"": [2.405943488115735, 48.84643242134391], ""type"": ""Point""}";48.84643242134391,2.405943488115735
3115;104, RUE BALARD;75015;Paris;2017;PARIS HAB;1;1;0;0;0;acquisition réhabilitation;;15;logement familial;647036.3195;6859938.3805;"{""coordinates"": [2.278422713022427, 48.83731922777579], ""type"": ""Point""}";48.83731922777579,2.278422713022427
15990;17 RUE DES BLUETS 4 RUE VICTOR GELEZ;75011;Paris;2019;AXIMO;2;0;2;0;0;acquisition conventionnement;;11;logement familial;654712.333;6862919.666;"{""coordinates"": [2.382678582279389, 48.864714982276176], ""type"": ""Point""}";48.864714982276176,2.382678582279389
16048;1, COUR DES PETITES ECURIES 61, BIS RUE DU FAUBOURG SAINT DENIS;75010;Paris;2019;PARIS HAB;7;7;0;0;0;acquisition réhabilitation;;10;logement familial;652595.234;6863776.9;"{""coordinates"": [2.353725786082742, 48.87227160093098], ""type"": ""Point""}";48.87227160093098,2.353725786082742
16062;ZAC PAUL BOURGET LOT 12;75013;Paris;2019;ELOGIE SIEMP;30;0;30;0;0;construction neuve;;13;logement familial;652955.272;6857707.343;"{""coordinates"": [2.359305392470424, 48.81771443773288], ""type"": ""Point""}";48.81771443773288,2.359305392470424
2790;8, RUE AUGUSTE CHABRIERES;75015;Paris;2015;PARIS HAB;28;14;8;0;6;acquisition réhabilitation;;15;logement familial;647787.44555;6859727.2179;"{""coordinates"": [2.288681413996954, 48.83548153264758], ""type"": ""Point""}";48.83548153264758,2.288681413996954
2815;218, RUE DU FAUBOURG SAINT DENIS;75010;Paris;2015;RIVP;14;8;6;0;0;acquisition réhabilitation;;10;logement familial;653015.2748;6865005.8156;"{""coordinates"": [2.359316059819054, 48.8833536996073], ""type"": ""Point""}";48.8833536996073,2.359316059819054
2685;"190 RUE DU FAUBOURG SAINT MARTIN
19A RUE EUGENE VARLIN";75010;Paris;2015;AXIMO;1;0;1;0;0;acquisition conventionnement;;10;logement familial;653247.40451;6864495.3379;"{""coordinates"": [2.362537437458137, 48.878780013999], ""type"": ""Point""}";48.878780013999,2.362537437458137
2691;49 RUE DU FAUBOURG SAINT MARTIN;75010;Paris;2015;AXIMO;1;0;1;0;0;acquisition conventionnement;;10;logement familial;652807.46672;6863647.4382;"{""coordinates"": [2.356633428889544, 48.871122964580465], ""type"": ""Point""}";48.871122964580465,2.356633428889544
2695;"61, RUE DU FAUBOURG SAINT MARTIN
47 RUE DU CHÂTEAU D'EAU";75010;Paris;2015;AXIMO;1;1;0;0;0;acquisition conventionnement;;10;logement familial;652829.86739;6863703.3277;"{""coordinates"": [2.356932594745578, 48.87162720813241], ""type"": ""Point""}";48.87162720813241,2.356932594745578
2714;83, RUE DU FAUBOURG DU TEMPLE;75010;Paris;2015;ELOGIE;14;7;7;0;0;construction neuve;;10;logement familial;653928.63965;6863552.8314;"{""coordinates"": [2.371927767044253, 48.870353359196635], ""type"": ""Point""}";48.870353359196635,2.371927767044253
2725;48, RUE DE LA GLACIERE;75013;Paris;2015;ELOGIE;1;1;0;0;0;acquisition réhabilitation;;13;logement familial;651880.4454;6859425.4668;"{""coordinates"": [2.34447391938639, 48.83308645616516], ""type"": ""Point""}";48.83308645616516,2.34447391938639
2735;7, RUE EMILE LEVEL 8, RUE BOULAY;75017;Paris;2015;ELOGIE;3;3;0;0;0;acquisition réhabilitation;;17;logement familial;649991.16192;6866090.1907;"{""coordinates"": [2.317953513207982, 48.892877311353665], ""type"": ""Point""}";48.892877311353665,2.317953513207982
2769;31-33, RUE DES VINAIGRIERS;75010;Paris;2015;PARIS HAB;43;25;18;0;0;acquisition conventionnement;;10;logement familial;653228.46469;6863863.8978;"{""coordinates"": [2.362348732098533, 48.873100250304006], ""type"": ""Point""}";48.873100250304006,2.362348732098533
2777;8-10, PASSAGE DE LA BONNE GRAINE;75011;Paris;2015;PARIS HAB;29;15;14;0;0;acquisition conventionnement;;11;logement familial;654283.44454;6861471.8137;"{""coordinates"": [2.376988307178153, 48.8516642712022], ""type"": ""Point""}";48.8516642712022,2.376988307178153
2992;14 RUE CROCE SPINELLI 82 RUE DE L'OUEST;75014;Paris;2016;RIVP;11;6;5;0;0;acquisition réhabilitation;;14;logement familial;649874.253;6859667.097;"{""coordinates"": [2.317116704804197, 48.835106545305834], ""type"": ""Point""}";48.835106545305834,2.317116704804197
3181;9-11 AVENUE LAMORICIERE;75012;Paris;2017;RIVP;1;0;0;0;1;acquisition réhabilitation;;12;logement familial;656873.778;6860768.81;"{""coordinates"": [2.41235855889016, 48.845520734315166], ""type"": ""Point""}";48.845520734315166,2.41235855889016
3207;49, RUE DE L'ARBRE SEC;75001;Paris;2017;AXIMO;1;1;0;0;0;acquisition conventionnement;;1;logement familial;651754.367;6862561.678;"{""coordinates"": [2.342400651274436, 48.86128089475192], ""type"": ""Point""}";48.86128089475192,2.342400651274436
3215;17 RUE FREDERIC SAUTON;75005;Paris;2017;AXIMO;1;1;0;0;0;acquisition conventionnement;;5;logement familial;652233.803;6861383.801;"{""coordinates"": [2.349067524707076, 48.85072408377007], ""type"": ""Point""}";48.85072408377007,2.349067524707076
3238;6 RUE JULIEN LACROIX;75020;Paris;2017;ELOGIE SIEMP;5;3;2;0;0;acquisition conventionnement;;20;logement familial;654963.697;6863371.206;"{""coordinates"": [2.3860569606426703, 48.86879323948744], ""type"": ""Point""}";48.86879323948744,2.3860569606426703
2856;21, RUE ALPHONSE BERTILLON;75015;Paris;2015;SABLIERE;68;20;28;0;20;construction neuve;;15;logement familial;649410.07148;6859582.59;"{""coordinates"": [2.310803340689829, 48.83431030105592], ""type"": ""Point""}";48.83431030105592,2.310803340689829
3347;4, RUE D'AIX;75010;Paris;2018;HAB.CONF.;25;25;0;0;0;acquisition conventionnement;;10;Centre d'hébergement d'urgence;653774.596;6863526.613;"{""coordinates"": [2.369830692974941, 48.87010654475129], ""type"": ""Point""}";48.87010654475129,2.369830692974941
3382;GROUPE JEAN SICART;75015;Paris;2018;PARIS HAB;256;103;102;0;51;acquisition conventionnement;;15;logement familial;648534.101;6858970.603;"{""coordinates"": [2.298944460869842, 48.82873731279411], ""type"": ""Point""}";48.82873731279411,2.298944460869842
3279;46 RUE DE PROVENCE;75009;Paris;2018;AXIMO;1;1;0;0;0;acquisition réhabilitation;;9;logement familial;651285.715;6864010.378;"{""coordinates"": [2.335847033167797, 48.87427349491528], ""type"": ""Point""}";48.87427349491528,2.335847033167797
3302;4, RUE HALLE;75014;Paris;2018;CARITAS;1;1;0;0;0;acquisition réhabilitation;;14;logement familial;651109.698;6859178.331;"{""coordinates"": [2.334003022727985, 48.83080593728692], ""type"": ""Point""}";48.83080593728692,2.334003022727985
3317;31, RUE DES TROIS BORNES;75011;Paris;2018;ELOGIE SIEMP;2;2;0;0;0;acquisition réhabilitation;;11;logement familial;654066.553;6863190.2;"{""coordinates"": [2.373847005152046, 48.867102127761555], ""type"": ""Point""}";48.867102127761555,2.373847005152046
3319;7 RUE RICHARD LENOIR;75011;Paris;2018;ELOGIE SIEMP;1;1;0;0;0;acquisition réhabilitation;;11;logement familial;654671.115;6861798.916;"{""coordinates"": [2.3822362757877, 48.85463328046716], ""type"": ""Point""}";48.85463328046716,2.3822362757877
3323;98 QUAI DE LA RAPEE;75012;Paris;2018;ELOGIE SIEMP;57;28;17;0;12;acquisition réhabilitation;;12;logement familial;653580.147;6860859.711;"{""coordinates"": [2.367471202448612, 48.846109355171485], ""type"": ""Point""}";48.846109355171485,2.367471202448612
3385;11, RUE DE SENLIS (GROUPE COURCELLES);75017;Paris;2018;PARIS HAB;1;1;0;0;0;acquisition réhabilitation;;17;logement familial;648472.348;6865578.747;"{""coordinates"": [2.297302291446064, 48.888158347316626], ""type"": ""Point""}";48.888158347316626,2.297302291446064
3396;14 BD BEAUMARCHAIS;75011;Paris;2018;RIVP;12;7;5;0;0;acquisition réhabilitation;;11;logement familial;653695.011;6861854.448;"{""coordinates"": [2.368927975723197, 48.85506326021034], ""type"": ""Point""}";48.85506326021034,2.368927975723197
3411;71 RUE PHILIPPE DE GIRARD;75018;Paris;2018;RIVP;11;6;5;0;0;construction neuve;;18;logement familial;653130.765;6865420.708;"{""coordinates"": [2.360845022929926, 48.88709311132276], ""type"": ""Point""}";48.88709311132276,2.360845022929926
648;25, RUE DOMBASLE;75015;Paris;2006;LOGIREP;7;0;0;0;7;construction neuve;;15;logement familial;648465.9029;6859784.5271;"{""coordinates"": [2.297916955982231, 48.83605152302214], ""type"": ""Point""}";48.83605152302214,2.297916955982231
854;5, IMPASSE MARIE BLANCHE;75018;Paris;2007;RIVP;10;5;0;0;5;construction neuve;opération abandonnée;18;logement familial;651059.9756;6865287.1962;"{""coordinates"": [2.332622406626668, 48.88573842045593], ""type"": ""Point""}";48.88573842045593,2.332622406626668
6;34-36, RUE LEON FROT, 137 BIS, RUE DE CHARONNE, 4, RUE E.LEPEU;75011;Paris;2001;ELOGIE;15;0;15;0;0;construction neuve;;11;logement familial;655030.9634;6861861.3256;"{""coordinates"": [2.387133662763932, 48.85521974465859], ""type"": ""Point""}";48.85521974465859,2.387133662763932
23;71, RUE DE DUNKERQUE;75009;Paris;2001;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;9;logement familial;652151.626;6864824.2761;"{""coordinates"": [2.347560325304367, 48.88165757445682], ""type"": ""Point""}";48.88165757445682,2.347560325304367
62;19 RUE DES PLANTES;75014;Paris;2001;SAGI;38;0;15;0;23;acquisition conventionnement;;14;logement familial;650355.097;6859150.3825;"{""coordinates"": [2.323727402328512, 48.83049691371931], ""type"": ""Point""}";48.83049691371931,2.323727402328512
193;24 RUE AMELOT 4 RUE DU CHEMIN VERT;75011;Paris;2003;MUT.RATP;28;0;0;0;28;construction neuve;;11;logement familial;653700.1211;6862067.3561;"{""coordinates"": [2.36897442840863, 48.85697829437811], ""type"": ""Point""}";48.85697829437811,2.36897442840863
927;278 RUE LECOURBE;75015;Paris;2007;PARIS HAB;11;0;11;0;0;construction neuve;;15;logement familial;647776.0552;6860054.701;"{""coordinates"": [2.288486044816055, 48.83842566610661], ""type"": ""Point""}";48.83842566610661,2.288486044816055
928;11-11BIS RUE DU CONSERVATOIRE;75009;Paris;2007;SEMIDEP;22;4;12;0;6;acquisition réhabilitation;;9;logement familial;652086.9989;6863904.3809;"{""coordinates"": [2.34678290041141, 48.873380398789415], ""type"": ""Point""}";48.873380398789415,2.34678290041141
942;15 RUE DE L'AQUEDUC;75010;Paris;2007;ELOGIE;23;9;14;0;0;acquisition réhabilitation;;10;logement familial;653013.4043;6864669.0259;"{""coordinates"": [2.359327815539897, 48.88032491179949], ""type"": ""Point""}";48.88032491179949,2.359327815539897
944;85 BD BRUNE;75014;Paris;2007;SNL-PROLOG;1;1;0;0;0;acquisition conventionnement;;14;logement familial;649603.2689;6858665.7366;"{""coordinates"": [2.313543757010311, 48.82608009933277], ""type"": ""Point""}";48.82608009933277,2.313543757010311
960;GROUPE EXPOSITIONS 1-9 AVENUE DE LA PORTE DE LA PLAINE;75015;Paris;2007;PARIS HAB;6;0;6;0;0;acquisition réhabilitation;;15;logement familial;648062.952;6859166.326;"{""coordinates"": [2.292503042240254, 48.83045967121721], ""type"": ""Point""}";48.83045967121721,2.292503042240254
810;68 AV DU GENERAL BIZOT;75012;Paris;2007;SIEMP;18;0;12;0;6;construction neuve;;12;logement familial;656133.365;6859680.9957;"{""coordinates"": [2.402382193907952, 48.83568795284131], ""type"": ""Point""}";48.83568795284131,2.402382193907952
813;48, RUE DU FAUBOURG POISSONNIERE;75010;Paris;2007;SIEMP;17;5;12;0;0;acquisition réhabilitation;;10;logement familial;652180.5087;6864010.3451;"{""coordinates"": [2.3480457713953182, 48.87434025946148], ""type"": ""Point""}";48.87434025946148,2.3480457713953182
824;8 RUE LEGOUVE;75010;Paris;2007;SNL-PROLOG;1;1;0;0;0;acquisition réhabilitation;;10;logement familial;653193.1994;6863785.9464;"{""coordinates"": [2.361876558092149, 48.872396688195444], ""type"": ""Point""}";48.872396688195444,2.361876558092149
550;28, RUE POULET;75018;Paris;2005;PARIS HAB;18;6;12;0;0;acquisition réhabilitation;;18;logement familial;652369.1681;6865493.3356;"{""coordinates"": [2.350451456394366, 48.887690337697855], ""type"": ""Point""}";48.887690337697855,2.350451456394366
242;91-93 RUE OBERKAMPF;75011;Paris;2003;SAGI;28;0;0;0;28;construction neuve;;11;logement familial;654192.6814;6862991.313;"{""coordinates"": [2.375587722198995, 48.865322549024796], ""type"": ""Point""}";48.865322549024796,2.375587722198995
252;POLE 3 - LOT 4A (ETUDIANTS) 8 RUE SAINTE LEONIE;75014;Paris;2003;SEMEA XV;45;0;45;0;0;construction neuve;;14;résidence pour étudiants;650070.0201;6859483.5046;"{""coordinates"": [2.31980513166262, 48.83347068487898], ""type"": ""Point""}";48.83347068487898,2.31980513166262
262;5 RUE DU MARCHE ORDENER (MAISON RELAIS);75018;Paris;2003;RIVP;8;8;0;0;0;acquisition réhabilitation;;18;maison relais;651201.2757;6866244.0676;"{""coordinates"": [2.334439193105868, 48.894353922750085], ""type"": ""Point""}";48.894353922750085,2.334439193105868
271;24, RUE D'ALSACE LORRAINE - 32, RUE DE LA SOLIDARITE;75019;Paris;2003;PARIS HAB;4;0;4;0;0;construction neuve;;19;logement familial;655423.4823;6865008.7969;"{""coordinates"": [2.392152743689913, 48.883551724733124], ""type"": ""Point""}";48.883551724733124,2.392152743689913
289;13 RUE DE LA HUCHETTE;75005;Paris;2003;PARIS HAB;17;0;17;0;0;acquisition réhabilitation;;5;logement familial;652002.384;6861625.8885;"{""coordinates"": [2.345886684726626, 48.85288396401291], ""type"": ""Point""}";48.85288396401291,2.345886684726626
299;ZAC PRG LOT M7B 42-56 RUE DU CHEVALERET;75013;Paris;2004;SABLIERE;48;0;0;0;48;construction neuve;;13;logement familial;654231.1184;6858916.0733;"{""coordinates"": [2.3765502385634703, 48.82867662636486], ""type"": ""Point""}";48.82867662636486,2.3765502385634703
75;254, RUE DU FAUBOURG SAINT ANTOINE, 105-119 BD DIDEROT (E. NAPOLEON);75012;Paris;2001;RIVP;82;0;82;0;0;acquisition réhabilitation;opération abandonnée;12;résidence pour étudiants;655350.2274;6861153.423;"{""coordinates"": [2.3915589593444873, 48.8488757971644], ""type"": ""Point""}";48.8488757971644,2.3915589593444873
80;1-19 RUE VILLIOT, 30-40 QUAI DE LA RAPEE LOT 2;75012;Paris;2001;PARIS HAB;64;0;64;0;0;construction neuve;;12;logement familial;654046.1559;6860286.8898;"{""coordinates"": [2.373882781591552, 48.840991358807514], ""type"": ""Point""}";48.840991358807514,2.373882781591552
124;83, RUE DULONG;75017;Paris;2002;LOG.FR.;18;0;18;0;0;acquisition conventionnement;;17;logement familial;649712.2281;6865422.4086;"{""coordinates"": [2.314228555198039, 48.88685048779345], ""type"": ""Point""}";48.88685048779345,2.314228555198039
138;11, BD SOULT;75012;Paris;2002;DOMAXIS;24;24;0;0;0;acquisition réhabilitation;;12;logement familial;656483.5599;6859743.2982;"{""coordinates"": [2.40714652719118, 48.836271987565105], ""type"": ""Point""}";48.836271987565105,2.40714652719118
142;61, RUE MYRHA  (HS);75018;Paris;2002;PARIS HAB;25;0;25;0;0;acquisition réhabilitation;;18;résidence pour étudiants;652432.0731;6865387.7388;"{""coordinates"": [2.351321092050135, 48.886745392337595], ""type"": ""Point""}";48.886745392337595,2.351321092050135
144;LOT 2 - 9 -11, RUE DU DEPARTEMENT - 14 A 16, PASSAGE GOIX;75019;Paris;2002;SAGI;16;0;0;0;16;construction neuve;;19;logement familial;653556.2798;6865195.5491;"{""coordinates"": [2.366672137850024, 48.885099162960884], ""type"": ""Point""}";48.885099162960884,2.366672137850024
165;49, RUE RAMPONEAU;75020;Paris;2002;PARIS HAB;10;0;10;0;0;acquisition réhabilitation;;20;logement familial;654659.9546;6863708.4774;"{""coordinates"": [2.38188046731953, 48.87180495143409], ""type"": ""Point""}";48.87180495143409,2.38188046731953
169;POLE 2 - LOT 3B (CHATEAU OUVRIER) 32-34 RUE PERNETY PL BK/14;75014;Paris;2002;PARIS HAB;20;0;20;0;0;acquisition réhabilitation;;14;logement familial;650003.1221;6859492.5927;"{""coordinates"": [2.318892759158016, 48.83354722868552], ""type"": ""Point""}";48.83354722868552,2.318892759158016
178;88-90, BOULEVARD NEY;75018;Paris;2002;SAGECO;300;0;0;0;300;acquisition conventionnement;;18;logement familial;652320.9657;6866689.9888;"{""coordinates"": [2.349659742195692, 48.89844780182578], ""type"": ""Point""}";48.89844780182578,2.349659742195692
181;49, RUE RAMPONEAU;75020;Paris;2002;PARIS HAB;3;0;3;0;0;construction neuve;;20;logement familial;654659.9546;6863708.4774;"{""coordinates"": [2.38188046731953, 48.87180495143409], ""type"": ""Point""}";48.87180495143409,2.38188046731953
455;66-70, RUE CROZATIER 2-10, PASSAGE BRULON 39- 41, RUE DE CITEAUX;75012;Paris;2005;SAGI;12;0;0;0;12;construction neuve;;12;logement familial;654466.8723;6861257.9047;"{""coordinates"": [2.379510810229275, 48.84975358121237], ""type"": ""Point""}";48.84975358121237,2.379510810229275
461;13, RUE BELLOT;75019;Paris;2005;SIEMP;4;0;0;0;4;construction neuve;;19;logement familial;653581.6391;6865313.711;"{""coordinates"": [2.367005017440034, 48.886163584186114], ""type"": ""Point""}";48.886163584186114,2.367005017440034
468;33 RUE VICTOR DURUY;75015;Paris;2005;IMM 3F;30;3;27;0;0;acquisition conventionnement;;15;logement familial;648631.657;6859820.8251;"{""coordinates"": [2.300170632481607, 48.83639118441954], ""type"": ""Point""}";48.83639118441954,2.300170632481607
608;31-37 ET 36 RUE DU NORD;75018;Paris;2006;SIEMP;10;0;10;0;0;acquisition réhabilitation;;18;logement familial;652351.7928;6866086.6689;"{""coordinates"": [2.350147928048581, 48.89302467864244], ""type"": ""Point""}";48.89302467864244,2.350147928048581
16085;11, RUE DU DESSOUS DES BERGES;75013;Paris;2019;ELOGIE SIEMP;1;0;0;0;1;acquisition conventionnement;;13;logement familial;654121.0;6858459.529;"{""coordinates"": [2.375099516562646, 48.82456301775201], ""type"": ""Point""}";48.82456301775201,2.375099516562646
16136;8 RUE BRETONNEAU;75020;Paris;2019;PARIS HAB;4;0;0;0;4;acquisition conventionnement;;20;logement familial;656192.036;6863209.427;"{""coordinates"": [2.402817931715162, 48.86742310042819], ""type"": ""Point""}";48.86742310042819,2.402817931715162
332;61-63, RUE D'AVRON;75020;Paris;2004;LOGIREP;105;0;55;0;50;construction neuve;;20;logement familial;656198.8667;6861522.8496;"{""coordinates"": [2.403084840531695, 48.85225629970664], ""type"": ""Point""}";48.85225629970664,2.403084840531695
367;14-14 BIS, RUE NOLLET;75017;Paris;2004;LOG.FR.;55;4;33;0;18;acquisition conventionnement;;17;logement familial;650423.2383;6865253.5371;"{""coordinates"": [2.323943799320358, 48.88538702537217], ""type"": ""Point""}";48.88538702537217,2.323943799320358
373;87 - 89 RUE DAMREMONT  BAT D4;75018;Paris;2004;HAINAUT;56;6;50;0;0;acquisition conventionnement;;18;logement familial;651342.5661;6866191.4758;"{""coordinates"": [2.336372175785011, 48.89389168061744], ""type"": ""Point""}";48.89389168061744,2.336372175785011
385;ZAC PRG LOT M3B3 8-12, RUE ELSA MORANTE;75013;Paris;2004;SEMIDEP;48;0;0;0;48;construction neuve;;13;logement familial;654639.2584;6858922.1698;"{""coordinates"": [2.382108919511467, 48.82876030478392], ""type"": ""Point""}";48.82876030478392,2.382108919511467
689;75-83, RUE DE LA CHAPELLE , 1 ET 2 IMPASSE DU GUE;75018;Paris;2006;PARIS HAB;46;15;0;0;31;construction neuve;;18;logement familial;652984.5318;6866506.5282;"{""coordinates"": [2.358730680372533, 48.896846823245625], ""type"": ""Point""}";48.896846823245625,2.358730680372533
724;48, RUE DE LA VILLETTE;75019;Paris;2006;SIEMP;1;0;1;0;0;construction neuve;;19;logement familial;655105.8541;6864276.4755;"{""coordinates"": [2.387899132814209, 48.87694407730003], ""type"": ""Point""}";48.87694407730003,2.387899132814209
736;226, RUE DE VAUGIRARD - 22 RUELLE DU SOLEIL D'OR;75015;Paris;2006;PARIS HAB;16;0;16;0;0;construction neuve;;15;logement familial;648984.0698;6860298.0321;"{""coordinates"": [2.304914338691344, 48.84071070283439], ""type"": ""Point""}";48.84071070283439,2.304914338691344
792;130 BIS, BD DIDEROT - 11 COUR SAINT ELOI;75012;Paris;2007;RIVP;8;0;8;0;0;construction neuve;;12;logement familial;655127.6366;6860990.1163;"{""coordinates"": [2.388543074663259, 48.84739171551317], ""type"": ""Point""}";48.84739171551317,2.388543074663259
