Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN43161;2022-02-08;;CÔTE ORIENT;45 rue de Berri 75008;Contre-terrasse estivale sur stationnement (L=5,50m l=1,80m);8;75108;48.87440399979826,2.307596999587374
DSN43183;2022-02-09;;BISTRO GENERAL;17 rue Eugene Sue 75018;Contre-terrasse estivale sur stationnement (L=11,00m l=1,70m);18;75118;48.891253000350645,2.347071000471184
DSN40369;2022-01-25;;LE BISTROT;151 avenue Parmentier 75010;Contre-terrasse permanente sur stationnement (L=7,00m l=1,50m);10;75110;48.87133100029937,2.369874000147061
DSN40477;2022-01-27;;CORETTA;151b rue Cardinet 75017;Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=6,50m);17;75117;48.89046499990206,2.31704999935275
DSN43236;2022-02-09;;AU BONHEUR DES JEUX;21 boulevard de Charonne 75011;Terrasse estivale sur trottoir face à la devanture (L=9,50m l=2,50m);11;75111;48.84980699967911,2.398637999603646
DSN43274;2022-02-09;;LES COPAINS;11 rue de Paradis 75010;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,00m);10;75110;48.874605999887955,2.353961000120969
DSN43323;2022-02-09;;AU VIEUX PARIS;2 rue de Sully 75004;Contre-terrasse estivale sur stationnement (L=8,80m l=2,00m);4;75104;48.84993400015523,2.3643730001040693
DSN43349;2022-02-09;;LES AFFRANCHIS;28 boulevard Voltaire 75011;"Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,50m) ; Terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,60m)";11;75111;48.8642760002165,2.368923999775025
DSN43358;2022-02-09;;PIZZA SAN MARCO;52 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=3,50m l=1,80m);11;75111;48.86256499991614,2.379864999872075
DSN35324;2021-10-08;;LE SAINT REGIS;39 rue d'Orsel 75018;Contre-terrasse permanente sur stationnement (L=11,00m l=1,80m);18;75118;48.883578999626465,2.342997999813827
DSN35336;2021-10-09;;EPOCA;17 rue Oudinot 75007;Contre-terrasse estivale sur stationnement (L=8,00m l=2,00m);7;75107;48.85014799978025,2.31788200023096
DSN37862;2021-11-01;;CAFE ETIENNE MARCEL;64 rue Tiquetonne 75002;"Contre-terrasse estivale sur trottoir face à la devanture (L=18,13m l=1,10m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=4,57m l=1,10m)";2;75102;48.86484300033701,2.345531999951215
DSN37865;2021-11-01;;SEAFOOD;1 rue de Turenne 75004;Contre-terrasse permanente sur stationnement (L=14,00m l=1,70m);4;75104;48.85485000030849,2.363029000370223
DSN40524;2022-01-28;;LE PINARDIER;65 rue de Bretagne 75003;Contre-terrasse estivale sur voie piétonne (L=13,00m l=2,50m);3;75103;48.86426299994669,2.360079999549509
DSN40564;2022-01-28;;LA SARRASINE;12 rue Jean du Bellay 75004;Contre-terrasse estivale sur stationnement (L=7,00m l=2,00m);4;75104;48.85320199982361,2.353931000658304
DSN43368;2022-02-09;;JIEMEI;38 rue Pernety 75014;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=0,40m);14;75114;48.83377000024633,2.318560000168635
DSN43445;2022-02-10;;BOBBY;29 rue Lambert 75018;"Terrasse estivale sur trottoir face à la devanture (L=12,00m l=0,70m) ; Terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,50m) ; Contre-terrasse estivale sur voie piétonne (L=8,00m l=1,00m)";18;75118;48.889151000226754,2.34478999967574
DSN43512;2022-02-10;;LA BOÎTE AUX LETTRES;108 rue Lepic 75018;Contre-terrasse permanente sur stationnement (L=7,20m l=1,74m);18;75118;48.88683200020508,2.338202000301251
DSN35413;2021-10-11;;DELITALY;15 rue Rambuteau 75004;Contre-terrasse estivale sur stationnement (L=3,65m l=0,60m);4;75104;48.8604729997791,2.355466999641552
DSN35486;2021-10-12;;FIRST LAP;7 rue Manuel 75009;Contre-terrasse estivale sur stationnement (L=9,20m l=1,40m);9;75109;48.87824399974176,2.340466999719658
DSN43592;2022-02-10;;THÉ LAB;6 rue Bichat 75010;Contre-terrasse estivale sur stationnement (L=6,00m l=2,80m);10;75110;48.86982800043225,2.369208999833968
DSN43636;2022-02-10;;THÉ COOL;10 rue Jean Bologne 75016;Contre-terrasse estivale sur stationnement (L=10,00m l=2,00m);16;75116;48.85702900007562,2.280330000509549
DSN35554;2021-10-13;;LES IMPERTINENTES;46 rue Tiquetonne 75002;Terrasse estivale sur trottoir face à la devanture (L=1,80m l=0,70m);2;75102;48.86480300016513,2.347227000102458
DSN38261;2021-11-06;;MARCEL;1 Villa Leandre 75018;Contre-terrasse permanente sur stationnement (L=4,90m l=1,73m);18;75118;48.888412999940506,2.33531499978478
DSN41011;2022-01-30;;SENSO;49 rue Olivier de Serres 75015;Contre-terrasse estivale sur stationnement (L=4,90m l=1,90m);15;75115;48.83431399976989,2.295612999444967
DSN43766;2022-02-11;;BISTRO COBALT;124 avenue du Maine 75014;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=10,90m l=3,10m);14;75114;48.83563300024422,2.323434000346325
DSN35665;2021-10-15;;CAFÉ DES ARTS ET MÉTIERS;51 rue de Turbigo 75003;Terrasse estivale sur trottoir face à la devanture (L=13,00m l=2,00m);3;75103;48.86537400002983,2.355244999709221
DSN35792;2021-10-18;;PASSAGER;107 avenue Ledru rollin 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=10,00m l=0,40m);11;75111;48.85269800027956,2.376775000364594
DSN38438;2021-11-09;;AU XV DU ROND POINT;5 rue de Ponthieu 75008;Contre-terrasse permanente sur stationnement (L=15,00m l=1,80m);8;75108;48.87012300041878,2.311147000122902
DSN38437;2021-11-09;;LE SAINT GEORGES;23 rue d'Abbeville 75009;"Contre-terrasse permanente sur stationnement (L=5,38m l=1,80m) ; Contre-terrasse permanente sur stationnement (L=3,15m l=1,80m)";9;75109;48.87923800001108,2.348830999599934
DSN38456;2021-11-10;;BRASSERIE DE L'ECHIQUIER;35 rue de l'Echiquier 75010;Contre-terrasse permanente sur stationnement (L=5,80m l=1,80m);10;75110;48.87160900029247,2.349671000386558
DSN41157;2022-01-31;;MONSIEUR HENRI;8 rue de Picardie 75003;Contre-terrasse estivale sur aire piétonne provisoire (L=7,00m l=3,00m);3;75103;48.863411999674184,2.362391999531882
DSN41183;2022-01-31;;TAKI;54 rue du Docteur Finlay 75015;Contre-terrasse permanente sur stationnement (L=12,00m l=2,00m);15;75115;48.850948000132604,2.29174200024061
DSN41181;2022-01-31;;CHEZ BARTOLO;7 rue des Canettes 75006;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,70m l=1,85m);6;75106;48.852396000348044,2.333789999860162
DSN41227;2022-01-31;;LE FLORIMOND;19 avenue de la Motte picquet 75007;Contre-terrasse estivale sur stationnement (L=10,00m l=2,60m);7;75107;48.855730999968046,2.308024999520825
DSN38629;2021-11-19;;KESHU;141 rue Saint denis 75002;Contre-terrasse permanente sur stationnement (L=10,00m l=1,10m);2;75102;48.864485000435714,2.350075000486516
DSN44063;2022-02-14;;LE REINITRAS BISTRO;32 rue du Temple 75004;Contre-terrasse estivale sur places et terre-pleins (L=3,75m l=1,80m);4;75104;48.85938799975885,2.35407999978926
DSN44168;2022-02-14;;TRA DI NOI;19 avenue Felix Faure 75015;Contre-terrasse estivale sur stationnement (L=12,00m l=2,00m);15;75115;48.842085000117045,2.290632999647815
DSN35990;2021-10-21;;BANH MI SAIGON;8 rue de Wattignies 75012;Contre-terrasse permanente sur stationnement (L=7,30m l=1,30m);12;75112;48.836685999617266,2.392618000028579
DSN36067;2021-10-22;;L'ATELIER DE LILI;39 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=3,20m l=1,70m);11;75111;48.86139199963533,2.380744000466846
DSN36109;2021-10-23;;LE GREFFULHE;29 rue des Mathurins 75008;Contre-terrasse permanente sur stationnement (L=12,00m l=1,70m);8;75108;48.87317499996256,2.325545999433417
DSN38709;2021-11-23;;O'BISTROT DE TOM;59 rue d'Anjou 75008;"Contre-terrasse permanente sur stationnement (L=2,85m l=1,80m) ; Contre-terrasse permanente sur stationnement (L=3,20m l=1,80m)";8;75108;48.87383699987885,2.322474999683313
DSN41494;2022-02-01;;NO SCRUM NO WIN;32 rue de Londres 75009;Contre-terrasse estivale sur stationnement (L=7,80m l=1,80m);9;75109;48.87764700013912,2.327826999482976
DSN44402;2022-02-15;;PIGNON;9 rue Brochant 75017;"Contre-terrasse estivale sur stationnement (L=6,00m l=1,00m) ; Contre-terrasse estivale sur stationnement (L=3,00m l=1,00m)";17;75117;48.88841499984195,2.317081000308509
DSN44434;2022-02-15;;KIM;15 rue Danielle Casanova 75002;"Contre-terrasse estivale sur stationnement (L=7,70m l=1,80m) ; Terrasse estivale sur trottoir face à la devanture (L=4,00m l=2,00m)";1;75101;48.867738999817,2.332411999486359
DSN44454;2022-02-16;;LEMON;19 Boulevard de Sébastopol 75001;Terrasse estivale sur trottoir face à la devanture (L=7,00m l=2,20m);1;75101;48.85946500019435,2.3485149999159223
DSN44463;2022-02-16;;LOCAL ROCK;206 avenue Jean Jaures 75019;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=2,50m);19;75119;48.88849400026021,2.392633999559084
DSN36155;2021-10-25;;BERMANI PÈRE ET FILS;5 rue Brea 75006;Contre-terrasse permanente sur stationnement (L=4,15m l=1,86m);6;75106;48.84349500018525,2.330384000626634
DSN36307;2021-10-26;;OLIVE ET THYM;60 rue Quincampoix 75004;Contre-terrasse permanente sur stationnement (L=3,00m l=8,00m);4;75104;48.8615759998208,2.350820000578171
DSN41595;2022-02-01;;LITTLE APPLE;27 rue de Saintonge 75003;Contre-terrasse estivale sur stationnement (L=5,80m l=1,60m);3;75103;48.86220200029033,2.362910999407339
DSN41596;2022-02-01;;RESPIRO;18 rue Maitre Albert 75005;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=20,00m l=0,60m);5;75105;48.8504810001916,2.349445999325056
DSN41636;2022-02-01;;ERETYK;12 rue Saint bernard 75011;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,20m);11;75111;48.851342000273554,2.38170200043386
DSN41742;2022-02-02;;KOUKLA;40 rue Jacques Louvel tessier 75010;Contre-terrasse estivale sur stationnement (L=4,40m l=1,80m);10;75110;48.871669000149275,2.371840000087742
DSN39006;2021-12-02;;LA BIGOUDENNE;62 rue du Montparnasse 75014;Contre-terrasse estivale sur stationnement (L=5,00m l=1,70m);14;75114;48.841713000170174,2.325143999629439
DSN39014;2021-12-02;;CRÊPERIE LE PETIT PLOUGASTEL;47 rue du Montparnasse 75014;Contre-terrasse estivale sur stationnement (L=1,60m l=7,50m);14;75114;48.842438999899684,2.325971999934231
DSN39042;2021-12-03;;SARL SAUVAGE;55 rue du Cherche midi 75006;Terrasse estivale sur trottoir face à la devanture (L=12,00m l=1,80m);6;75106;48.8486759996896,2.325015999708988
DSN41760;2022-02-02;;BRAVO, LA FABRIQUE DE PÂTES;28 rue saint Lazare 75009;Contre-terrasse estivale sur stationnement (L=9,00m l=1,80m);9;75109;48.87678699960073,2.336583999326054
DSN41763;2022-02-02;;LE SEDAINE BAR;60 rue Sedaine 75011;Terrasse estivale sur trottoir face à la devanture (L=6,00m l=60,00m);11;75111;48.85781400037819,2.376865999961209
DSN41904;2022-02-03;;MOEUF;16 rue des Filles du Calvaire 75003;Contre-terrasse estivale sur stationnement (L=5,00m l=3,00m);3;75103;48.862739999849204,2.366223999993208
DSN36575;2021-10-27;;LE BISTRO DE LONGCHAMP;40 rue de Longchamp 75116;Contre-terrasse permanente sur stationnement (L=11,00m l=2,00m);16;75116;48.86511200017018,2.289217000037584
DSN36650;2021-10-27;;MAISON PEREIRA;106 boulevard Jourdan 75014;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=2,00m);14;75114;48.823249999877746,2.326317000365285
DSN39302;2021-12-17;;CAFÉ BOLIVAR;31 avenue Secretan 75019;Contre-terrasse estivale sur places et terre-pleins (L=16,00m l=7,00m);19;75119;48.88140300015837,2.373130999520007
DSN41938;2022-02-03;;MAISON LANDEMAINE;28 boulevard Beaumarchais 75011;"Terrasse estivale sur trottoir face à la devanture (L=1,80m l=0,60m) ; Terrasse estivale sur trottoir face à la devanture (L=7,60m l=0,60m)";11;75111;48.85600300042472,2.368714999872906
DSN41968;2022-02-03;;L'OLIVIER;181 boulevard Brune 75014;Contre-terrasse estivale sur trottoir face à la devanture (L=15,50m l=2,40m);14;75114;48.82383900035324,2.323669999830127
DSN36802;2021-10-27;;LE PETIT CARILLON;1 rue Alexandre Parodi 75010;Contre-terrasse permanente sur stationnement (L=18,00m l=1,80m);10;75110;48.87928399987352,2.366485999722112
DSN19996;2021-07-19;;ARCHIBAR;13b rue Campagne Premiere 75014;Contre-terrasse estivale sur stationnement (L=7,00m l=1,60m);14;75114;48.839849999614756,2.332784000621202
DSN20031;2021-07-19;;MURPHY;3 rue du Maine 75014;"Contre-terrasse estivale sur stationnement (L=9,20m l=1,50m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=4,45m l=0,80m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=1,20m l=0,80m)";14;75114;48.84051999980605,2.323559000058259
DSN22337;2021-07-26;;LE CAFE PARISIEN;111 rue Monge 75005;Contre-terrasse estivale sur stationnement (L=6,00m l=2,00m);5;75105;48.83975700008044,2.351480000338556
DSN22364;2021-07-26;;COMME UN BOUILLON;17 rue de Choiseul 75002;Contre-terrasse estivale sur voie piétonne (L=20,00m l=4,60m);2;75102;48.870096000175565,2.335890000636077
DSN22349;2021-07-26;;RESTAURANT 2020;13 boulevard de la Chapelle 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=7,00m l=1,00m);10;75110;48.88420299966096,2.362249999519249
DSN22373;2021-07-26;;BAB, LE BAR À BRIOCHES;8 rue la Boetie 75008;Terrasse estivale sur trottoir face à la devanture (L=3,00m l=2,00m);8;75108;48.87442199981813,2.31823499956717
DSN18156;2021-07-09;;ORIENT HOUSE;118 rue Monge 75005;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=1,50m);5;75105;48.83899599989825,2.350733000536063
DSN18165;2021-07-09;;BISTROT LUCIEN;8 rue Lucien Sampaix 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=0,50m);10;75110;48.87107600029318,2.360088000356262
DSN20108;2021-07-19;;LA MAISON DE LA POUTINE;82 avenue Parmentier 75011;Contre-terrasse estivale sur stationnement (L=4,60m l=3,40m);11;75111;48.8645990002352,2.375216000296378
DSN24557;2021-07-28;;BRASSERIE LE GRILLON;19 rue Falguiere 75015;Contre-terrasse permanente sur stationnement (L=9,00m l=1,80m);15;75115;48.84325100023517,2.316865999815281
DSN24627;2021-07-29;;CAFE ETIENNE MARCEL;64 rue Tiquetonne 75002;"Contre-terrasse estivale sur trottoir face à la devanture (L=18,13m l=1,10m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=4,57m l=1,10m)";2;75102;48.86484300033701,2.345531999951215
DSN18216;2021-07-09;;LE PETIT MÉDICIS;13 rue de Medicis 75006;"Terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,60m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=2,00m l=2,00m)";6;75106;48.84802899986382,2.339990999676186
DSN18294;2021-07-09;;YEMMA OFFICE;35 rue Saint maur 75011;Contre-terrasse estivale sur stationnement (L=8,00m l=1,60m);11;75111;48.86125900039496,2.3808720000443
DSN20307;2021-07-20;;LE DAUPHIN;131 avenue Parmentier 75011;Contre-terrasse estivale sur stationnement (L=10,50m l=2,50m);11;75111;48.86947699988505,2.371243999432478
DSN24688;2021-07-29;;PIZZA CHIC;13 rue de Mezieres 75006;"Contre-terrasse permanente sur stationnement (L=12,40m l=1,70m) ; Contre-terrasse permanente sur stationnement (L=6,00m l=1,60m)";6;75106;48.850204999593885,2.33055999943207
DSN18349;2021-07-10;;TRAITEUR IMPERIALE AU MAIRE;21 rue au Maire 75003;Contre-terrasse estivale sur voie piétonne (L=1,20m l=0,70m);3;75103;48.86460000006149,2.356336000361388
DSN20421;2021-07-21;;LA COURONNE D'OR;140 avenue Jean Jaures 75019;Terrasse estivale sur trottoir face à la devanture (L=9,00m l=1,80m);19;75119;48.8868010003454,2.386205999321687
DSN22824;2021-07-27;;SOLEIL D ORAN;9 rue Cave 75018;Contre-terrasse estivale sur stationnement (L=9,00m l=3,00m);18;75118;48.88671599979108,2.355751999373349
DSN24840;2021-07-29;;COMME CHEZ MAMAN;5 rue des Moines 75017;Contre-terrasse estivale sur stationnement (L=20,00m l=1,70m);17;75117;48.88761399990679,2.318107000081805
DSN18544;2021-07-11;;LE VAUDESIR;41 rue Dareau 75014;Contre-terrasse permanente sur stationnement (L=18,00m l=1,70m);14;75114;48.83038199955511,2.335544000426868
DSN23064;2021-07-27;;TRA DI NOI;19 avenue Felix Faure 75015;Contre-terrasse estivale sur stationnement (L=8,00m l=2,00m);15;75115;48.842085000117045,2.290632999647815
DSN25052;2021-07-29;;TOPOLINO;40 rue de Laborde 75008;Contre-terrasse estivale sur stationnement (L=8,00m l=1,80m);8;75108;48.8755250002913,2.317114000484788
DSN20683;2021-07-22;;JULES JO;28 rue Hermel 75018;"Contre-terrasse estivale sur trottoir face à la devanture (L=6,80m l=1,22m) ; Contre-terrasse estivale sur stationnement (L=5,80m l=1,80m)";18;75118;48.892223000002055,2.344999999538972
DSN23106;2021-07-27;;MAW'ADE;366 rue de Vaugirard 75015;Contre-terrasse estivale sur trottoir face à la devanture (L=1,50m l=5,00m);15;75115;48.834720000390526,2.29125999977482
DSN25124;2021-07-30;;RESTAURANT LE 3V;3 rue de Vienne 75008;Contre-terrasse estivale sur stationnement (L=6,50m l=1,70m);8;75108;48.8764760003077,2.321218000402539
DSN18816;2021-07-12;;RESTAURANT CRÊPERIE CHOUCHOU;5 boulevard de Strasbourg 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=3,00m l=1,50m);10;75110;48.869793000147894,2.354288000338293
DSN20803;2021-07-23;;TOULLER OUTILLAGE;68 rue Jean pierre Timbaud 75011;"Terrasse estivale sur trottoir face à la devanture (L=16,00m l=1,00m) ; Contre-terrasse estivale sur stationnement (L=8,00m l=1,78m)";11;75111;48.86692399982004,2.374740000398388
DSN20802;2021-07-23;;FABBREZZA;45 rue des Cinq Diamants 75013;"Contre-terrasse permanente sur stationnement (L=4,75m l=1,80m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,60m l=0,60m)";13;75113;48.82808300012177,2.349993999918256
DSN23233;2021-07-27;;AU LECHE VIN;13 rue Daval 75011;"Contre-terrasse estivale sur stationnement (L=5,25m l=1,90m) ; Terrasse estivale sur trottoir face à la devanture (L=5,45m l=0,90m)";11;75111;48.854987000261744,2.370689000582263
DSN23267;2021-07-27;;MONGOO;33 rue Washington 75008;Contre-terrasse estivale sur stationnement (L=5,00m l=1,80m);8;75108;48.87377000044906,2.303840000085244
DSN16834;2021-07-06;;CEDRAT;66 rue des Dames 75017;Contre-terrasse estivale sur stationnement (L=4,20m l=1,90m);17;75117;48.88354999982362,2.320044000530118
DSN20888;2021-07-23;;CAVE SOPHIE GERMAIN;7 rue Sophie Germain 75014;Contre-terrasse permanente sur stationnement (L=5,00m l=1,70m);14;75114;48.83087000021981,2.330571000216577
DSN34991;2021-10-04;;BOOGYS;52 rue Ordener 75018;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,80m l=1,20m);18;75118;48.891895999831576,2.34832299932089
DSN35023;2021-10-04;;LA GRANGE;20 rue Saussier leroy 75017;Contre-terrasse permanente sur stationnement (L=10,00m l=1,80m);17;75117;48.879974999963174,2.295957999631656
DSN35107;2021-10-05;;QASTI CHAWARMA AND GRILL;214 rue Saint martin 75003;Contre-terrasse permanente sur stationnement (L=5,00m l=1,60m);3;75103;48.86375199979051,2.352870000656957
DSN35105;2021-10-05;;BOBI FILIPINO FOOD;17 rue Oberkampf 75011;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);11;75111;48.86333999988628,2.368867000207519
DSN35112;2021-10-05;;BRASSERIE PASTIS;87 boulevard Haussmann 75008;"Contre-terrasse estivale sur trottoir face à la devanture (L=7,95m l=2,00m) ; Contre-terrasse permanente sur stationnement (L=7,95m l=1,80m) ; Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,00m l=2,00m)";8;75108;48.87444599971543,2.320926000556339
DSN35126;2021-10-06;;PUB SAINT-MICHEL;19 Quai Saint michel 75005;Contre-terrasse permanente sur stationnement (L=6,90m l=1,70m);5;75105;48.85334500004943,2.34546399956717
DSN35178;2021-10-06;;MAITRE PIERRE;7 rue Marbeuf 75008;Contre-terrasse estivale sur stationnement (L=8,00m l=1,70m);8;75108;48.86760700044062,2.302225999849407
DSN33646;2021-09-16;;MAISON SAUVAGE;5 place Victor Hugo 75116;Contre-terrasse permanente sur stationnement (L=25,00m l=2,00m);16;75116;48.86927500033614,2.2856980006378382
DSN33857;2021-09-18;;LE REILHAC;63 rue du Faubourg Saint denis 75010;Terrasse estivale sur trottoir face à la devanture (L=4,00m l=1,00m);10;75110;48.872333999577734,2.353964000385259
DSN33908;2021-09-19;;PANANGKAI;13b rue Beccaria 75012;Contre-terrasse estivale sur trottoir désaxée par rapport à la devanture (L=8,00m l=1,00m);12;75112;48.84750399962433,2.378874999568707
DSN34126;2021-09-22;;AU QUAI;15 rue Alibert 75010;Contre-terrasse permanente sur stationnement (L=7,00m l=1,80m);10;75110;48.87159299964063,2.367287000158464
DSN34129;2021-09-22;;CAFÉ DE L'UNIVERS;20 rue des Poissonniers 75018;Contre-terrasse estivale sur stationnement (L=11,70m l=1,70m);18;75118;48.88697100009698,2.350990999521448
DSN34209;2021-09-22;;MO TOWN;116 boulevard de Menilmontant 75020;Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=3,00m);20;75120;48.865683999956126,2.384708999809424
DSN34280;2021-09-23;;LE MORLAIX;112 rue de Meaux 75019;Terrasse estivale sur trottoir face à la devanture (L=4,30m l=4,00m);19;75119;48.885522999769584,2.38155700000449
DSN34487;2021-09-26;;DRUNKEN BUNNY;62 rue Mouffetard 75005;Contre-terrasse permanente sur stationnement (L=3,00m l=2,00m);5;75105;48.843015999558354,2.349548999594116
DSN34492;2021-09-26;;LE VOYAGEUR;138 avenue Parmentier 75011;Contre-terrasse permanente sur stationnement (L=10,00m l=1,80m);11;75111;48.86913000025486,2.371865000044644
DSN34724;2021-09-29;;TABAC  D'HAUTEVILLE;16 rue d'Hauteville 75010;Contre-terrasse permanente sur stationnement (L=11,00m l=2,00m);10;75110;48.87174700018328,2.350022000334942
DSN34772;2021-09-29;;CHEZ RITA ET CLAUDIO;70 rue du Mont Cenis 75018;Contre-terrasse estivale sur stationnement (L=6,00m l=1,80m);18;75118;48.891704000294325,2.343983000527537
DSN34810;2021-09-30;;TRIBAL CAFE;3 Cour des Petites Ecuries 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=14,00m l=1,40m);10;75110;48.87234699973626,2.35346900015165
DSN34811;2021-09-30;;VITAMIN;8 rue d'Avron 75020;Contre-terrasse permanente sur stationnement (L=4,00m l=2,00m);20;75120;48.851427000056546,2.399455000680357
DSN34870;2021-09-30;;JULES ET SHIM;18 rue du Faubourg Poissonniere 75010;Contre-terrasse permanente sur stationnement (L=4,10m l=2,00m);10;75110;48.87213100039384,2.348001999916089
DSN15539;2021-07-02;;EXPERIMENTAL COCKTAIL CLUB;37 rue Saint sauveur 75002;"Terrasse estivale sur trottoir face à la devanture (L=6,00m l=1,50m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=4,00m l=1,50m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=6,00m l=1,40m)";2;75102;48.86607100011644,2.348315999518447
DSN15514;2021-07-02;;LE PETIT GASTON;85 rue du Cardinal Lemoine 75005;Contre-terrasse estivale sur trottoir face à la devanture (L=7,00m l=0,30m);5;75105;48.84459900038567,2.349660999397483
DSN16775;2021-07-05;;LE PLOMB DU CANTAL JOLIVET;5 rue du Maine 75014;"Contre-terrasse estivale sur trottoir face à la devanture (L=20,00m l=0,80m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=3,00m l=1,00m) ; Contre-terrasse estivale sur voie piétonne (L=9,00m l=1,20m)";14;75114;48.840528999696986,2.323368000331756
DSN16028;2021-07-03;;NELLO;16b rue Dufrenoy 75116;Contre-terrasse estivale sur stationnement (L=10,00m l=1,50m);16;75116;48.866326999745446,2.273523999909044
DSN16069;2021-07-04;;OKAYAMA;17 rue de Lourmel 75015;Contre-terrasse permanente sur stationnement (L=5,50m l=1,80m);15;75115;48.84953900016247,2.291499000034033
DSN16169;2021-07-04;;BISTROT DAVINCI;1 rue du commandant Guilbaud;Contre-terrasse permanente sur stationnement (L=10,00m l=2,00m);16;75116;48.83941199955865,2.251735000413145
DSN16209;2021-07-04;;LES BAUX DE PARIS;71 rue Mouffetard 75005;"Contre-terrasse estivale sur trottoir face à la devanture (L=6,00m l=3,00m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=1,30m l=2,00m)";5;75105;48.842278999602854,2.349839000120657
DSN16299;2021-07-05;;LIIFE EAT SMART;33 rue des Petits Carreaux 75002;Contre-terrasse estivale sur stationnement (L=5,00m l=2,00m);2;75102;48.867551999797456,2.347249999355649
DSN16353;2021-07-05;;LE CENTREVILLE;2 rue Keller 75011;"Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,10m) ; Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=2,90m l=1,40m)";11;75111;48.853464000180004,2.376977999618875
DSN16386;2021-07-05;;COMME UN BOUILLON;17 rue de Choiseul 75002;Contre-terrasse estivale sur voie piétonne (L=11,00m l=2,70m);2;75102;48.870096000175565,2.335890000636077
DSN16516;2021-07-05;;RESTAURANT GROS;4 Cour des Petites Ecuries 75010;Contre-terrasse estivale sur trottoir face à la devanture (L=16,00m l=1,40m);10;75110;48.8724450004246,2.353621999917451
DSN16539;2021-07-05;;GAMJATANG;11b rue Beaugrenelle 75015;Terrasse estivale sur trottoir face à la devanture (L=5,00m l=1,00m);15;75115;48.84758500004605,2.285855000521178
DSN16575;2021-07-05;;LE SAINT FERDINAND;34 place Saint ferdinand 75017;"Contre-terrasse estivale sur trottoir face à la devanture (L=6,10m l=2,80m) ; Contre-terrasse estivale sur trottoir face à la devanture (L=8,10m l=0,55m)";17;75117;48.877896000113,2.28769800018185
DSN15179;2021-07-02;;TESS;33 rue des Acacias 75017;Contre-terrasse estivale sur stationnement (L=14,50m l=1,80m);17;75117;48.87728100023416,2.292415999635518
DSN15246;2021-07-02;;K.O.D;29 rue du Sahel 75012;Contre-terrasse estivale sur stationnement (L=8,00m l=2,00m);12;75112;48.84099500041841,2.404262000106781
DSN15251;2021-07-02;;TAVERNE DES KORRIGANS;42 rue du Cardinal Lemoine 75005;Contre-terrasse estivale sur stationnement (L=6,70m l=1,90m);5;75105;48.84689499969854,2.351844000093021
DSN15284;2021-07-02;;BOCAMEXA;12 rue de la Roquette 75011;Terrasse estivale sur trottoir face à la devanture (L=3,80m l=1,50m);11;75111;48.85359499968825,2.370734000120664
DSN15295;2021-07-02;;IZA BY KURA;9 rue de l'Annonciation 75016;Contre-terrasse estivale sur stationnement (L=6,40m l=1,85m);16;75116;48.85603499966972,2.280163000298383
