Numéro de la demande;Date de la demande;Siret du commerce;Nom de l’enseigne;Adresse du commerce;Installations demandées et dimensions;Arrondissement;Code Arrondissement;geo_point_2d
DSN38293;2021-11-08;;CHEZ ARNAUD;16 rue Eugene Jumin 75019;Contre-terrasse estivale sur trottoir face à la devanture (L=8,00m l=1,00m);19;75119;48.887342999920754,2.39252100033309
DSN40915;2022-01-29;;HUGO AND CO;48 rue Monge 75005;Contre-terrasse estivale sur stationnement (L=5,80m l=1,30m);5;75105;48.84517299974996,2.351998999464647
DSN40968;2022-01-30;;FOURTEEN CAFÉ;14 avenue Rene Coty 75014;Contre-terrasse estivale sur places et terre-pleins (L=12,00m l=7,00m);14;75114;48.830398999907416,2.333624000627531
DSN40983;2022-01-30;;AU MÉTRO;39 rue de Lancry 75010;Contre-terrasse estivale sur places et terre-pleins (L=7,50m l=4,00m);10;75110;48.87100900023012,2.361480000579856
DSN40997;2022-01-30;;LA MADONNINA;10 rue Marie et Louise 75010;Contre-terrasse estivale sur stationnement (L=4,80m l=1,65m);10;75110;48.87197399957121,2.366726999955429
DSN41020;2022-01-30;;LE ST LOUIS;37 rue des Deux Ponts 75004;Terrasse estivale sur trottoir face à la devanture (L=3,40m l=0,60m);4;75104;48.85233500004758,2.356874000332041
DSN43718;2022-02-11;;LIIFE EAT SMART;33 rue des Petits Carreaux 75002;Contre-terrasse estivale sur stationnement (L=5,00m l=2,00m);2;75102;48.867551999797456,2.347249999355649
DSN43751;2022-02-11;;NOGLU;15 rue Basfroi 75011;Terrasse estivale sur trottoir désaxée par rapport à la devanture (L=5,40m l=1,00m);11;75111;48.8544599998511,2.3796260003367182
DSN35709;2021-10-16;;CAVE DES ABBESSES;43 rue des Abbesses 75018;Contre-terrasse permanente sur stationnement (L=6,00m l=2,00m);18;75118;48.88521799964318,2.336403000271424
DSN38413;2021-11-09;;CAFE OPERA BASTILLE;71 rue de Lyon 75012;Contre-terrasse permanente sur stationnement (L=9,00m l=1,80m);12;75112;48.85121499986106,2.369842999412872
DSN38416;2021-11-09;;KALINKA;53 rue Amelot 75009;Contre-terrasse permanente sur stationnement (L=7,00m l=2,50m);11;75111;48.858009999616584,2.368516000649613
DSN43882;2022-02-11;;GRANCAFFE CONVIVIUM;28 rue Marbeuf 75008;Contre-terrasse estivale sur places et terre-pleins (L=9,00m l=1,30m);8;75108;48.86917600011347,2.304754999917546
DSN43898;2022-02-12;;AU VIEUX HANOI;41 rue Bezout 75014;Terrasse estivale sur trottoir face à la devanture (L=9,90m l=1,80m);14;75114;48.82877000017111,2.328830999926664
DSN43975;2022-02-13;;SALICORNE;11 rue Brochant 75017;Contre-terrasse permanente sur stationnement (L=8,00m l=1,70m);17;75117;48.88858100030374,2.317303000208999
DSN43988;2022-02-13;;SAVEURS AND CO;90 avenue Raymond Poincare 75116;Contre-terrasse estivale sur trottoir face à la devanture (L=5,00m l=3,00m);16;75116;48.870551000414316,2.28529399982104
DSN44017;2022-02-13;;THE 46 BAR;46 rue Rene Boulanger 75010;Contre-terrasse estivale sur places et terre-pleins (L=10,00m l=6,00m);10;75110;48.86853999982046,2.360302999439783
DSN35962;2021-10-21;;LE BISTROT BASQUE;20 rue du Faubourg Poissonniere 75010;Contre-terrasse permanente sur stationnement (L=9,20m l=2,00m);10;75110;48.8722780000355,2.348002000362864
DSN38600;2021-11-18;;BLEND HAMBURGER;1 boulevard des Filles du Calvaire 75003;Contre-terrasse permanente sur stationnement (L=5,40m l=3,50m);3;75103;48.86111600040825,2.366954999354893
DSN38653;2021-11-21;;RISTORANTE LA SERENATA;5 rue Desnouettes 75015;Contre-terrasse permanente sur stationnement (L=6,00m l=2,00m);15;75115;48.83603699975371,2.292617000531791
DSN41239;2022-01-31;;LA PETITE DERNIERE;10 rue de la Fontaine du But 75018;Contre-terrasse estivale sur stationnement (L=7,00m l=1,80m);18;75118;48.890474999626484,2.33926200019172
DSN41292;2022-01-31;;CASA DELL'ESTELLE;14 rue de Castellane 75008;Contre-terrasse estivale sur stationnement (L=10,50m l=1,70m);8;75108;48.872592999763135,2.324291000579036
DSN44219;2022-02-14;;O COFFEESHOP;23 rue de Lourmel 75015;Contre-terrasse permanente sur stationnement (L=8,00m l=1,80m);15;75115;48.84908499977763,2.291102999690673
DSN36105;2021-10-23;;SUPRA;12 rue Jouye rouve 75020;Contre-terrasse estivale sur stationnement (L=7,50m l=2,00m);20;75120;48.87279500034429,2.382769999494061
DSN38715;2021-11-23;;LES BLEDARDS;161 Quai de Valmy 75010;Contre-terrasse permanente sur stationnement (L=13,00m l=1,20m);10;75110;48.87859500002922,2.366058000636051
