N_SQ_CA;NUMEVP;TEXTE;geo_shape;geo_point_2d
16;171;16-171;"{""coordinates"": [[[2.270458928678479, 48.8434237192942], [2.270208453860173, 48.84316491685062], [2.2701152445216453, 48.843205770485476], [2.270013423617826, 48.84325050264565], [2.27027318017706, 48.84350714605165], [2.270380539266902, 48.843459082913554], [2.270458928678479, 48.8434237192942]]], ""type"": ""Polygon""}";48.8433357308,2.2702375456
15;97;15-97;"{""coordinates"": [[[2.310512418430324, 48.84473935735621], [2.310548208406804, 48.84469306646166], [2.310687099891147, 48.844526450952], [2.31065730307597, 48.84451267456794], [2.310611327640283, 48.8444968560232], [2.310567873118447, 48.844544691052214], [2.310473286513861, 48.844662629149745], [2.310480949321528, 48.84466607291467], [2.310484353681129, 48.84467035912287], [2.310461344859431, 48.84470070508149], [2.31045112555221, 48.844702529449], [2.310443462622686, 48.844699506584334], [2.310434089551435, 48.84471172888782], [2.310512418430324, 48.84473935735621]]], ""type"": ""Polygon""}";48.8446153425,2.31056347721
16;48;16-48;"{""coordinates"": [[[2.261150533488072, 48.84210874747338], [2.261103811229316, 48.84203579143266], [2.261094467915625, 48.842021101837354], [2.261038248101095, 48.842034201976695], [2.261029752299874, 48.84202133973933], [2.260959897946284, 48.84204054329578], [2.260942053839627, 48.84201594225419], [2.260911387952608, 48.84202343882794], [2.260396818351355, 48.84218868844425], [2.260497080171885, 48.84232975959862], [2.260424652901034, 48.84236104528604], [2.260306231797092, 48.84239953651123], [2.260281537313216, 48.842400151877825], [2.260263661382349, 48.84239585476388], [2.260238978056844, 48.842389444297794], [2.260116294104463, 48.84243123485116], [2.260127342655038, 48.84244452035347], [2.260149441489521, 48.84247116241545], [2.260222536115172, 48.84255924204579], [2.260250599669303, 48.8425839207689], [2.260493454382245, 48.84247293876262], [2.260466253068993, 48.84244193744488], [2.260502892123294, 48.842426997835396], [2.2604918482675442, 48.84240991794753], [2.260646088829071, 48.84233519818548], [2.26062992904912, 48.84232240097683], [2.260779888996337, 48.842261729752465], [2.261150533488072, 48.84210874747338]]], ""type"": ""Polygon""}";48.8422590011,2.26062639136
15;20;15-20;"{""coordinates"": [[[2.294299899805642, 48.8314213735235], [2.293843265905951, 48.83080660430164], [2.293601423811566, 48.830882740263895], [2.293751068950673, 48.83109862292446], [2.293877948090446, 48.83106354269138], [2.294162800862438, 48.831461438489846], [2.294299899805642, 48.8314213735235]]], ""type"": ""Polygon""}";48.8310974992,2.2939428139
14;43;14-43;"{""coordinates"": [[[2.314641994614735, 48.82498365349324], [2.314515274106798, 48.824737242545865], [2.314565504467772, 48.82472003931464], [2.314504273850186, 48.824592302779784], [2.314353587432187, 48.82463829123531], [2.314306767885387, 48.82464502625969], [2.314394356985458, 48.82483339914507], [2.314462400479989, 48.82495474419544], [2.314418980914436, 48.8249696300513], [2.314478509599977, 48.82509525857534], [2.314617301880994, 48.825000158602776], [2.314641994614735, 48.82498365349324]]], ""type"": ""Polygon""}";48.824827647,2.31447992869
17;6;17-6;"{""coordinates"": [[[2.320897535244851, 48.88318482470155], [2.321171932653922, 48.88323938027518], [2.321196658383227, 48.883202007508075], [2.321466795934146, 48.883254594793414], [2.321624564952328, 48.882903758072246], [2.3210698099999503, 48.88278734071458], [2.320897535244851, 48.88318482470155]]], ""type"": ""Polygon""}";48.883031446,2.32125648661
19;16;19-16;"{""coordinates"": [[[2.384753986502553, 48.875752226858886], [2.384772719084822, 48.87573879986954], [2.38483487804077, 48.87569317780317], [2.384933652302339, 48.87562175582293], [2.385069890674603, 48.87552305879238], [2.384942005299561, 48.87544793882495], [2.384898524717312, 48.87542217346011], [2.384846585726945, 48.8754619601554], [2.384746835325959, 48.8754031986233], [2.384737455912479, 48.875397581746576], [2.384693196395809, 48.875447341877944], [2.3846011312462903, 48.875406280825615], [2.384592607175087, 48.875402701726465], [2.384265737813055, 48.87575243157008], [2.384275967503289, 48.87575636210989], [2.384356944865489, 48.8757874512326], [2.384393598357132, 48.87580148765478], [2.384668073864937, 48.8759068958643], [2.384753986502553, 48.875752226858886]]], ""type"": ""Polygon""}";48.8756319455,2.38465379673
20;165;20-165;"{""coordinates"": [[[2.4064718907533322, 48.86706292104693], [2.406527217031095, 48.867026705663235], [2.406582541633826, 48.86699063054158], [2.4062269454290233, 48.86674783266833], [2.406200537491083, 48.86674988614626], [2.406142747279322, 48.86685193239851], [2.406158949879913, 48.866862601596544], [2.406467634308837, 48.86706524181486], [2.4064718907533322, 48.86706292104693]]], ""type"": ""Polygon""}";48.8669090328,2.40635040156
20;24;20-24;"{""coordinates"": [[[2.410270510257312, 48.86057149451634], [2.410475823892016, 48.86058695944018], [2.41041093324694, 48.860484427654185], [2.410636571091067, 48.86041936545131], [2.410645078886124, 48.86041191222718], [2.410650180794546, 48.860405516044786], [2.410716896795414, 48.86001506115603], [2.410716882193586, 48.86000550646216], [2.410704097466282, 48.8600001751543], [2.4106878940064562, 48.85998739933421], [2.410406584161573, 48.85984580428785], [2.41033754923989, 48.859820626979506], [2.410313885506459, 48.85994724313902], [2.410342875242038, 48.85996640439682], [2.410323457505251, 48.86008444734002], [2.410354149405411, 48.86010255305682], [2.410347361524449, 48.860121105436335], [2.4103228835877673, 48.8602728029267], [2.410270510257312, 48.86057149451634]]], ""type"": ""Polygon""}";48.8602010828,2.41048080835
16;198;16-198;"{""coordinates"": [[[2.28226347711583, 48.85990593207702], [2.282197779102031, 48.85995015864083], [2.282293583630769, 48.86001131203395], [2.28229728139577, 48.8600087494638], [2.282492410790398, 48.86013400270957], [2.282555039326663, 48.86008957142274], [2.28255759789488, 48.86008718458415], [2.28226347711583, 48.85990593207702]]], ""type"": ""Polygon""}";48.8600193007,2.28237846001
