N_SQ_CA;NUMEVP;TEXTE;geo_shape;geo_point_2d
13;49;13-49;"{""coordinates"": [[[2.342402382556446, 48.837456694088516], [2.342596125373051, 48.83741492666994], [2.342553265887081, 48.83733057685411], [2.342403366998848, 48.83736332895712], [2.342384551926981, 48.83732714648614], [2.342344800477488, 48.837335018647465], [2.342402382556446, 48.837456694088516]]], ""type"": ""Polygon""}";48.8373900125,2.34246994026
14;15;14-15;"{""coordinates"": [[[2.310337285769274, 48.82952465239633], [2.31036213597525, 48.82955335091481], [2.310353000966581, 48.82956281634543], [2.31067820858808, 48.8297729068371], [2.310732347543229, 48.829767269488286], [2.310763122090624, 48.829756738865626], [2.310794071001553, 48.82973312150847], [2.310986133936497, 48.829602425384856], [2.310994657749764, 48.82958085886679], [2.310992959079421, 48.829572920173675], [2.310988713751322, 48.82955163174695], [2.310982759812693, 48.82954263695286], [2.310838092299003, 48.829438977635775], [2.310628732617554, 48.82932609987745], [2.3105691491819202, 48.82931217491889], [2.310519770712125, 48.82931911945192], [2.310334296773155, 48.82947823270053], [2.310337285769274, 48.82952465239633]]], ""type"": ""Polygon""}";48.8295406767,2.31065480006
14;41;14-41;"{""coordinates"": [[[2.327756645885064, 48.8270597292029], [2.327790202422404, 48.82713412904181], [2.327907909165396, 48.82709973018064], [2.327933191830728, 48.82702653794113], [2.327746353053632, 48.8270000696093], [2.327731716398492, 48.827047835104636], [2.327567425729062, 48.82703180460499], [2.327495070761263, 48.827024914135094], [2.327433780664382, 48.827018656054854], [2.327366533387462, 48.82701211710847], [2.327316305433949, 48.82702644497768], [2.327351109381619, 48.82707527097326], [2.327195118973215, 48.82712727597588], [2.327197302361597, 48.82716380927264], [2.327187398005011, 48.827176901547816], [2.327204629199806, 48.82721322720246], [2.327756645885064, 48.8270597292029]]], ""type"": ""Polygon""}";48.8270883552,2.32752964437
13;96;13-96;"{""coordinates"": [[[2.367715374893728, 48.82515543623299], [2.367605700327839, 48.82524789125576], [2.367663992987135, 48.825279014787924], [2.36777151923992, 48.82518534319428], [2.367715374893728, 48.82515543623299]]], ""type"": ""Polygon""}";48.8252172206,2.36768880125
17;18;17-18;"{""coordinates"": [[[2.306999036532687, 48.88403120017776], [2.307487595171247, 48.88364674442796], [2.307231153360641, 48.883515441164775], [2.307167198880059, 48.88357865487375], [2.307084530640801, 48.88358204089676], [2.306683343226156, 48.883667712749705], [2.306578249665249, 48.88367826575288], [2.306493837430663, 48.88374583029906], [2.306999036532687, 48.88403120017776]]], ""type"": ""Polygon""}";48.8837560807,2.30700560258
15;111;15-111;"{""coordinates"": [[[2.292013467069536, 48.84694145148525], [2.291887633439182, 48.84693525841652], [2.291747936699932, 48.84697201775658], [2.29174877384466, 48.84698923026025], [2.291866421181417, 48.84711902688546], [2.292087420314397, 48.84703312516203], [2.292013467069536, 48.84694145148525]]], ""type"": ""Polygon""}";48.8470139132,2.29191351826
5;69;5-69;"{""coordinates"": [[[2.347039669135957, 48.85098081485828], [2.347027747724556, 48.850984820284744], [2.347004754494532, 48.85099430711759], [2.346993683424115, 48.85100049002601], [2.34698942498361, 48.8510023176596], [2.347013277904229, 48.851028520175944], [2.346989432429042, 48.85103793670142], [2.347033728941351, 48.85108324788626], [2.347110372437871, 48.85104993937973], [2.347062669773076, 48.85100336402597], [2.347039669135957, 48.85098081485828]]], ""type"": ""Polygon""}";48.8510331125,2.34704329677
15;29;15-29;"{""coordinates"": [[[[2.290179134551279, 48.84626951373688], [2.290330824621051, 48.84645951512976], [2.290312206686801, 48.84646619759641], [2.290375556594963, 48.846546419929986], [2.290631977015677, 48.84644851666482], [2.2904031468523502, 48.84618433264806], [2.290950908358764, 48.845977790692075], [2.290763754153925, 48.84576877402934], [2.2909366857120412, 48.845702311577], [2.290883938872687, 48.84564671761107], [2.290836301889305, 48.84559203978399], [2.290659111462603, 48.845659062331976], [2.290404399593838, 48.845755069179354], [2.290196540258884, 48.84583388238687], [2.290155650248516, 48.84584904051956], [2.290152242593131, 48.84585051504671], [2.289937566780416, 48.845932204899846], [2.289933307469827, 48.84593367796343], [2.28992989995694, 48.84593494113412], [2.2899205288087128, 48.845938450599775], [2.289929035526912, 48.845948079336466], [2.289969868695163, 48.845994112898154], [2.290131496277981, 48.846177828553024], [2.290203803673578, 48.84626005757347], [2.290179134551279, 48.84626951373688]], [[2.290235944413098, 48.84614603781575], [2.290216375741877, 48.846126884845624], [2.290165591629332, 48.84614461132557], [2.290032033434458, 48.84599420931761], [2.29019559593644, 48.84593202908191], [2.290178586232483, 48.845909189493874], [2.290330057490401, 48.84585390831703], [2.290477384319699, 48.8460225417671], [2.290368648424582, 48.846064729133424], [2.29038630106454, 48.846092199740625], [2.290235944413098, 48.84614603781575]]]], ""type"": ""MultiPolygon""}";48.8460230026,2.29048903244
5;35;5-35;"{""coordinates"": [[[2.350830570358035, 48.84531370617368], [2.351050255137876, 48.845242860168916], [2.351051959103062, 48.845242368468156], [2.351053661227843, 48.845241805707936], [2.351034920874447, 48.845222768915924], [2.350995735403735, 48.84517485966077], [2.350989771963167, 48.845164181579094], [2.350952283717147, 48.84509378940545], [2.350896932063543, 48.845097309578726], [2.350856038004024, 48.84502818317763], [2.35073086372432, 48.84504878367851], [2.350772621227921, 48.84516048514055], [2.350830570358035, 48.84531370617368]]], ""type"": ""Polygon""}";48.8451712819,2.35087679
5;42;5-42;"{""coordinates"": [[[2.348661019996466, 48.84275341439579], [2.348644859481079, 48.84283238398079], [2.348644008998348, 48.84283709111088], [2.34873086868505, 48.842854224706336], [2.348748729279815, 48.84276099328031], [2.348661019996466, 48.84275341439579]]], ""type"": ""Polygon""}";48.8428016287,2.34869688765
14;2;14-2;"{""coordinates"": [[[2.319118420935082, 48.827786223520725], [2.319508166237608, 48.8281749366741], [2.319752518748242, 48.82807015082469], [2.319878526656351, 48.82801607293335], [2.32074779925928, 48.82764292675338], [2.320827830628704, 48.82760837211526], [2.320841474125949, 48.827537274655754], [2.320529157953505, 48.82723871495214], [2.320475529434174, 48.82723505376498], [2.320445716994647, 48.82725188080774], [2.320744886858331, 48.82752604599102], [2.320716960119642, 48.82759489571231], [2.320372532576353, 48.82775118344054], [2.320333209485158, 48.82770883852092], [2.3201822881852, 48.82769180090722], [2.319462261773097, 48.82799388084608], [2.31934726996031, 48.82788098952997], [2.319496376061551, 48.82781044817854], [2.319619833946088, 48.82774287976612], [2.320051056368568, 48.827529241531046], [2.320266620112407, 48.82758162893874], [2.320364766029269, 48.82753327408631], [2.32021244292967, 48.82737201511949], [2.320178403501438, 48.82734173024357], [2.320129043322257, 48.82730385565008], [2.320086472806286, 48.8273240124196], [2.320034537661686, 48.827349156942006], [2.319963870263573, 48.82738293957557], [2.319653959264703, 48.82753057255839], [2.319626713748894, 48.827543355106414], [2.319395981765582, 48.827653833065845], [2.319359371027617, 48.82767111040662], [2.31935766819547, 48.82767195332521], [2.319241024888132, 48.827727648007134], [2.319163546002024, 48.82776494213144], [2.319118420935082, 48.827786223520725]]], ""type"": ""Polygon""}";48.827722565,2.31988850179
9;39;9-39;"{""coordinates"": [[[2.33550036553726, 48.8812483634508], [2.335464870665549, 48.881206760257044], [2.3354534282548842, 48.88121129772933], [2.335440714536395, 48.881197918831475], [2.33545179284374, 48.88119370399841], [2.335386175478761, 48.88114888033573], [2.335309774872852, 48.88118270277589], [2.335283909754959, 48.881198148204106], [2.335312884828177, 48.88124822114399], [2.335366572435337, 48.88122700446722], [2.335405772833765, 48.881271968381455], [2.335412589278298, 48.8812791343315], [2.33550036553726, 48.8812483634508]]], ""type"": ""Polygon""}";48.8812142257,2.33539073409
18;121;18-121;"{""coordinates"": [[[2.342941962086068, 48.883842731789095], [2.342840580434526, 48.88413654758184], [2.342953930629855, 48.88415227841891], [2.342957336781608, 48.88414019393319], [2.342967561614456, 48.88411251291997], [2.342974614577973, 48.884091641310626], [2.342959536254821, 48.88408908091182], [2.342965688195207, 48.88407207237491], [2.342980661463052, 48.88407463669315], [2.34301867773446, 48.883965112690845], [2.34302378786774, 48.88394431675078], [2.343050199796576, 48.8838864243278], [2.343062128962308, 48.883863941785584], [2.342941962086068, 48.883842731789095]]], ""type"": ""Polygon""}";48.883996984,2.34294794508
8;16;8-16;"{""coordinates"": [[[2.301096257876285, 48.87351988992319], [2.301513272470813, 48.87389281342877], [2.301617455288181, 48.87390974616382], [2.301617566195849, 48.87390960921156], [2.301618418915248, 48.873908344315616], [2.301619270587015, 48.87390736090766], [2.3016201246574832, 48.87390609691895], [2.301620976329282, 48.87390511351094], [2.301621829459164, 48.87390391966542], [2.301622682494102, 48.873902936265345], [2.301623535106308, 48.87390188271415], [2.301624388141181, 48.87390089931408], [2.301625241176022, 48.873899915913995], [2.30162609421083, 48.8738989325139], [2.301626946399992, 48.87389780881152], [2.301627799952425, 48.8738966851171], [2.301629504159797, 48.873895772334876], [2.301630357194457, 48.873894788934756], [2.301631209806373, 48.87389373538347], [2.301632914120509, 48.873892611256444], [2.301633768095543, 48.8738915577131], [2.301635472820414, 48.87389050463644], [2.301636324491569, 48.87388952122831], [2.301638030579527, 48.8738884681596], [2.301638883191084, 48.87388741460825], [2.301640586975132, 48.873886431674705], [2.30164144000943, 48.87388544827451], [2.301643144639023, 48.87388460564321], [2.3016439976732412, 48.87388362224301], [2.301645702207922, 48.873882990057155], [2.301646555230009, 48.87388200755618], [2.301648259764503, 48.87388137537028], [2.301649964488647, 48.87388032229342], [2.30165166922488, 48.87387926831726], [2.301653374371727, 48.8738782853915], [2.301655079518511, 48.873877302465665], [2.301656784147617, 48.87387645983417], [2.301658489294276, 48.873875476908346], [2.301660192982708, 48.87387470441998], [2.301661898022442, 48.87387393283884], [2.301663602228472, 48.873873020056116], [2.301665307280156, 48.87387224757567], [2.30166701233169, 48.87387147509517], [2.301668716442829, 48.87387077275784], [2.301670421905072, 48.87387007132769], [2.301672126016121, 48.87386936899033], [2.301673830972761, 48.87386880695524], [2.301675535071665, 48.87386810551709], [2.301677239605353, 48.873867473330776], [2.301678944126943, 48.87386684204371], [2.301680649083426, 48.87386628000853], [2.301682352664611, 48.8738657188646], [2.301684058031848, 48.8738652278798], [2.301685761624917, 48.87386466583657], [2.301687466992088, 48.873864174851676], [2.301689171418809, 48.873863754009925], [2.301690875011775, 48.873863191966635], [2.301692579438437, 48.87386277112488], [2.301694283865071, 48.87386235028309], [2.301695988291679, 48.873861929441254], [2.301697692730314, 48.87386150770014], [2.30169939757977, 48.873861157009465], [2.301701102429102, 48.87386080631873], [2.301702805915205, 48.87386045562], [2.301704510764592, 48.87386010492918], [2.301706215613854, 48.87385975423841], [2.301707919522804, 48.87385947369074], [2.3017096234317362, 48.87385919314307], [2.301711328703854, 48.87385891260335], [2.301713033035672, 48.87385870220677], [2.301714736944448, 48.873858421659065], [2.30171644126418, 48.8738582121617], [2.301718145595852, 48.87385800176504], [2.301719849927612, 48.87385779136838], [2.301721554259256, 48.87385758097171], [2.301723257650619, 48.8738574407182], [2.30172496239312, 48.87385730137185], [2.3017266657843622, 48.87385716111829], [2.301728370539004, 48.87385702087268], [2.301730074341116, 48.873856951669445], [2.301731779095639, 48.873856811423764], [2.301733482909797, 48.87385674132124], [2.301735186711995, 48.87385667211795], [2.301736891889451, 48.873856602023366], [2.301738596114495, 48.87385660297116], [2.301740299928637, 48.873856532868565], [2.301742004165736, 48.87385653291709], [2.301743708390778, 48.873856533864824], [2.30174541167548, 48.87385660495575], [2.301747115912581, 48.87385660500415], [2.301748820560597, 48.87385667610298], [2.301750523857366, 48.87385674629459], [2.301752228505289, 48.87385681739336], [2.301754784325519, 48.87385695910911], [2.301757340157817, 48.873857099925516], [2.301759045228745, 48.87385724117535], [2.301760748936478, 48.873857382417214], [2.301762452656275, 48.87385752275976], [2.301764156786917, 48.87385773415271], [2.30176586049468, 48.87385787539452], [2.301767564625447, 48.873858086787386], [2.301869707034257, 48.87386348233352], [2.301932360400324, 48.87362970400334], [2.301884402164446, 48.87357445741755], [2.301801876709467, 48.87353295259376], [2.301770355285033, 48.87352746351125], [2.301727748580584, 48.87353293029658], [2.301763587270329, 48.87345903174583], [2.301728662180555, 48.87344637572378], [2.301695442654135, 48.8734318922845], [2.3016715929226192, 48.87341980178878], [2.301613671446698, 48.873394561974315], [2.301588967892943, 48.8733871772357], [2.301563409645777, 48.87338140901939], [2.3015455195063073, 48.873378452817626], [2.301518255443717, 48.8733751424339], [2.301490991429759, 48.87337365860881], [2.301472245585939, 48.873373512344536], [2.30144668397321, 48.87337490914496], [2.301420268172656, 48.87337778217195], [2.301401521144213, 48.873381078572706], [2.301372546583111, 48.873387181483395], [2.301344422892917, 48.87339490097504], [2.3013256729876392, 48.873401358535894], [2.301121106631992, 48.87350436126569], [2.301112583818704, 48.87350794125095], [2.301115138082686, 48.8735103313274], [2.301096257876285, 48.87351988992319]]], ""type"": ""Polygon""}";48.8736275281,2.30155164712
20;62;20-62;"{""coordinates"": [[[2.4031591864553, 48.87191911188122], [2.403146433218727, 48.871942135097456], [2.403328827111805, 48.87198783665997], [2.403363799982875, 48.87192658916469], [2.403300693742535, 48.87190938869927], [2.403277068799782, 48.87194793599912], [2.4031591864553, 48.87191911188122]]], ""type"": ""Polygon""}";48.8719474051,2.40327257191
8;71;8-71;"{""coordinates"": [[[2.313595943291399, 48.86641970513328], [2.313549936759511, 48.86642250624746], [2.313524377945552, 48.866423976678746], [2.313511598757356, 48.86642474696811], [2.31350562531283, 48.866445119786356], [2.313496247699975, 48.86645909940652], [2.313484314239414, 48.86647441248647], [2.31345789900881, 48.86648459446119], [2.313515591883353, 48.86698911351691], [2.313387754338552, 48.8670884990545], [2.313384341541658, 48.86709868615826], [2.313384334606806, 48.86711400198727], [2.313493355333631, 48.867172195422995], [2.31350954137601, 48.86717514908327], [2.313532545784386, 48.86717037689243], [2.313604973222405, 48.867145450499564], [2.313679111514963, 48.867103030794745], [2.3137149105310693, 48.867065801679026], [2.313731113797342, 48.86703257470327], [2.31373282191967, 48.86702294979938], [2.313733681513932, 48.86700447225993], [2.313734535141972, 48.86700145175314], [2.313734536769371, 48.8669984308578], [2.3137353904090068, 48.8669954094517], [2.313735392036458, 48.866992388556376], [2.3137362456641, 48.866989368049516], [2.313736245928371, 48.866986347146366], [2.313736247555671, 48.866983326250974], [2.31373624918297, 48.86698030535561], [2.313736250822218, 48.86697728356096], [2.313736252010458, 48.86697419251402], [2.313736253637859, 48.86697117161861], [2.313736255265157, 48.866968150723174], [2.313736256892455, 48.86696512982779], [2.313733708210008, 48.86694967253587], [2.313728617209736, 48.8669053406372], [2.313711646771464, 48.86675850234534], [2.3137090960150752, 48.866747963564805], [2.313701464820148, 48.86667004807645], [2.313673462395195, 48.86643328015144], [2.313676026028872, 48.86641459293354], [2.3136436519980528, 48.86641683462039], [2.313595943291399, 48.86641970513328]]], ""type"": ""Polygon""}";48.8668053819,2.31358787903
16;154;16-154;"{""coordinates"": [[[2.276153853645342, 48.86381113889047], [2.276095023730824, 48.86358462457235], [2.276011012926218, 48.86359394451041], [2.275991067168094, 48.86351933942643], [2.275946530537688, 48.86352330953756], [2.275876828966899, 48.86349376227043], [2.275928782167174, 48.8634877442623], [2.276444822633896, 48.863429618439866], [2.276376181142835, 48.863356322540646], [2.276272206578858, 48.863393994572235], [2.27616823011304, 48.86343159635203], [2.276102754473887, 48.863334538743416], [2.275808715002662, 48.863448758391975], [2.275746496836222, 48.86347345494925], [2.275685984282995, 48.863497239959706], [2.275772770964354, 48.863583279269264], [2.275702883435229, 48.863610149893496], [2.275650892475893, 48.86363063726644], [2.275707782436827, 48.863782420028144], [2.275712865511114, 48.863804483138146], [2.275961655005848, 48.86377405431693], [2.275966741175866, 48.86379443114776], [2.276002293630611, 48.863933567459156], [2.276091372399668, 48.86391988484355], [2.276070616551047, 48.86383920876135], [2.276073889237119, 48.86383853605593], [2.276069412939311, 48.8638208627771], [2.276153853645342, 48.86381113889047]]], ""type"": ""Polygon""}";48.8636111554,2.27595754417
16;25;16-25;"{""coordinates"": [[[2.2684944473721043, 48.854791058232905], [2.268474044136162, 48.85476266298589], [2.268261026552514, 48.854823587290866], [2.267895486649431, 48.854928048826665], [2.267916721809727, 48.854970355177436], [2.268285682147431, 48.85485584974742], [2.2684944473721043, 48.854791058232905]]], ""type"": ""Polygon""}";48.8548679678,2.2681787676
11;4;11-4;"{""coordinates"": [[[2.381186846109068, 48.853369603417505], [2.3812327814765473, 48.853306074276475], [2.381416790776562, 48.85335131694721], [2.381495871291563, 48.85320789341321], [2.381299082023441, 48.85315654383192], [2.381238592272284, 48.85313556034815], [2.38127857731503, 48.85308545290434], [2.381198995583635, 48.853058970968014], [2.381063544021313, 48.85324972699621], [2.381017237331797, 48.853234708416664], [2.380906124475458, 48.85319862447962], [2.380848978866557, 48.85329122008651], [2.381186846109068, 48.853369603417505]]], ""type"": ""Polygon""}";48.8532443067,2.38119717762
16;63;16-63;"{""coordinates"": [[[2.275643763490887, 48.85559525387288], [2.276002582550384, 48.8554057548346], [2.276085120942965, 48.8554713471606], [2.276101290783695, 48.85548280749381], [2.276229994639748, 48.855408053327764], [2.276197667142025, 48.85537621021877], [2.276189159803427, 48.855368266877115], [2.276073636499524, 48.85542891064752], [2.275961690221095, 48.85533677114327], [2.27609047693309, 48.855271050789405], [2.276115997829012, 48.85529642682872], [2.276146624809212, 48.85532587996985], [2.27617044452351, 48.85534970959854], [2.276454271508261, 48.85518799002453], [2.27642363704672, 48.85516485941341], [2.276281539668902, 48.85504717590756], [2.276178409760417, 48.85510430990079], [2.27615628794412, 48.85508560969551], [2.276142673820273, 48.8550744319355], [2.276021651683813, 48.855135279834414], [2.276077804166952, 48.8551860340836], [2.276021569073543, 48.85520321697859], [2.275952542498173, 48.85523240624543], [2.27582982902525, 48.85528320685573], [2.275686661490896, 48.85534326924724], [2.275568209188084, 48.85539231464867], [2.275488103245566, 48.85542599452378], [2.275495754805736, 48.855437450129735], [2.275511883634058, 48.85548115773597], [2.275516111497658, 48.85550673324246], [2.275517771385885, 48.85554193253653], [2.275511770989747, 48.855572771221674], [2.275497253813895, 48.85560262300515], [2.275732927903662, 48.855814219231114], [2.275801116878141, 48.85577406903547], [2.275831802007803, 48.85575610027465], [2.275643763490887, 48.85559525387288]]], ""type"": ""Polygon""}";48.8553801218,2.27591728372
16;43;16-43;"{""coordinates"": [[[2.281230477225544, 48.85550733767715], [2.281335992222445, 48.855597878562456], [2.281337694162576, 48.855598792639945], [2.28133854489041, 48.85560005775124], [2.281340247444456, 48.85560132258238], [2.281341097953934, 48.85560230709238], [2.281342800289649, 48.85560329132215], [2.281343650799208, 48.855604275832164], [2.281345353135034, 48.85560526006188], [2.281346203657078, 48.85560624367255], [2.281347054166749, 48.85560722818248], [2.281348756898093, 48.85560828256458], [2.281350459629405, 48.855609336946635], [2.281351309171742, 48.85561039160073], [2.281353012664619, 48.85561109433796], [2.281353863174499, 48.85561207884785], [2.2813555660828673, 48.855612922780935], [2.281356416020733, 48.85561404758732], [2.281358119513698, 48.85561475032448], [2.2813589700237342, 48.85561573483434], [2.28136067139277, 48.85561678920805], [2.281362374519976, 48.85561791374231], [2.281364076242642, 48.85561854721811], [2.281364928128082, 48.85561953083683], [2.2813666296740482, 48.85562037476152], [2.281368332393814, 48.85562143004259], [2.281370035126053, 48.85562248442437], [2.281371737462972, 48.85562346865377], [2.281373439215507, 48.85562459407891], [2.281375142124602, 48.855625438011664], [2.28137684485711, 48.85562649239332], [2.281378547194187, 48.85562747662261], [2.28138024970816, 48.85562825040294], [2.281381951078037, 48.85562930477634], [2.28138365359202, 48.855630078556594], [2.281385356501458, 48.8556309224892], [2.281387059015646, 48.85563169626943], [2.281388762101787, 48.85563232975306], [2.281390464628474, 48.855633102633945], [2.281392167142707, 48.85563387641407], [2.281393870229083, 48.85563450989764], [2.281395572743412, 48.855635283677714], [2.281397275842278, 48.855635916261946], [2.281398978356704, 48.855636690042], [2.281400680652401, 48.8556371832207], [2.28140238454225, 48.85563795610961], [2.28140408683802, 48.85563844928829], [2.28140578935263, 48.85563922306821], [2.281407492056313, 48.85563978549993], [2.281409195727421, 48.85564027778745], [2.281410898242166, 48.85564105156731], [2.281412600933562, 48.85564161489821], [2.28141430324195, 48.855642107177445], [2.281416006900796, 48.85564260036415], [2.2814177096047, 48.8556431627957], [2.281419411913188, 48.85564365507485], [2.281421115967587, 48.855644218413865], [2.281422818276142, 48.85564471069297], [2.281424520967785, 48.85564527402373], [2.281426224639233, 48.85564576631095], [2.281427927124323, 48.855646048141075], [2.281429630783426, 48.85564654132756], [2.281431333487605, 48.85564710375892], [2.281433887610875, 48.85564759665636], [2.281435591270086, 48.85564808984278], [2.281437293755303, 48.855648371672736], [2.281438997031494, 48.85564879380741], [2.281440699735847, 48.855649356238665], [2.281442402616717, 48.855649708220966], [2.281444105485106, 48.855650061102466], [2.281445808761408, 48.85565048323706], [2.281447512609585, 48.855650765075104], [2.281449215885937, 48.85565118720965], [2.281450918371429, 48.85565146903946], [2.281452622219665, 48.85565175087739], [2.2814543247051953, 48.85565203270713], [2.281456028553467, 48.85565231454504], [2.281457731039033, 48.85565259637472], [2.281459434887343, 48.85565287821258], [2.281461137372946, 48.85565316004221], [2.281462841221293, 48.855653441880015], [2.2814645437068313, 48.85565372370961], [2.281466247159801, 48.855653935395004], [2.281467950612785, 48.85565414708034], [2.281469654065681, 48.855654358765705], [2.281471357518693, 48.855654570451016], [2.281473059608788, 48.85565478212812], [2.281474764041529, 48.855654922769894], [2.281476467099051, 48.85565506430276], [2.281478170156479, 48.85565520583558], [2.281479873609553, 48.85565541752081], [2.281483280704355, 48.8556556295429], [2.281484983761821, 48.85565577107566], [2.281486686423855, 48.855655842456], [2.281488390844267, 48.85565598399685], [2.281490093518713, 48.855656054477905], [2.281491796576314, 48.85565619601054], [2.281494352811317, 48.855656338169375], [2.281496907300453, 48.85565640926832], [2.2815003139998282, 48.855656551137585], [2.281502018024736, 48.855656622525885], [2.281503721654082, 48.855656623761824], [2.281505424328571, 48.85565669424262], [2.281507980168165, 48.855656766248764], [2.281509683809918, 48.85565676658534], [2.281511386472018, 48.85565683796536], [2.281513090113772, 48.855656838301876], [2.281514793743126, 48.85565683953762], [2.281517349199558, 48.855656840491946], [2.281519052828912, 48.85565684172767], [2.281520756470667, 48.85565684206405], [2.281523311519106, 48.85565677376516], [2.281525866579938, 48.85565670456695], [2.281528421640764, 48.85565663536866], [2.281530976701584, 48.85565656617032], [2.281532681298152, 48.85565649726162], [2.281535235963451, 48.855656357910824], [2.281536939209579, 48.85565628809463], [2.28153949484207, 48.855656078599594], [2.281541199451012, 48.855656008791485], [2.281543753720543, 48.85565579928815], [2.281545457921448, 48.85565566022691], [2.281547162134844, 48.855655520266396], [2.281548865380929, 48.85565545044999], [2.28155056918618, 48.85565524123633], [2.281552272036721, 48.85565510126755], [2.281553976249978, 48.85565496130692], [2.281555680067694, 48.85565475119389], [2.281557384268531, 48.85565461213254], [2.281559086723292, 48.85565440201124], [2.2815607909366102, 48.855654262050514], [2.281562494754174, 48.855654051937385], [2.28156419895497, 48.855653912875916], [2.28156590277261, 48.85565370276276], [2.281567605227306, 48.85565349264136], [2.281569309044918, 48.855653282528166], [2.281571012862415, 48.8556530724149], [2.281572717634769, 48.85565279305672], [2.281574421452234, 48.855652582943456], [2.281576123906962, 48.85565237282194], [2.281577828691562, 48.855652092564426], [2.28157953211342, 48.8556518122987], [2.281581236326497, 48.85565167233767], [2.281582939748322, 48.85565139207189], [2.281584643157729, 48.85565111270536], [2.281586347558966, 48.85565076139608], [2.281588050968334, 48.85565048202949], [2.281589755357229, 48.85565013161945], [2.281591458395673, 48.85564978030188], [2.28159316278442, 48.85564942989177], [2.281594867173245, 48.85564907948163], [2.281596570199222, 48.85564872906328], [2.281598275159442, 48.85564823835653], [2.281599978185368, 48.85564788793813], [2.28160168314553, 48.85564739723135], [2.281603386171404, 48.855647046812905], [2.281605090748203, 48.855646485054415], [2.281606795136751, 48.8556461346441], [2.281608498338358, 48.855645573776634], [2.281610202331246, 48.855645153213935], [2.281611906907909, 48.855644591455324], [2.281613610505024, 48.855644100740186], [2.281619575025331, 48.85564199607457], [2.281612769190592, 48.85563552929571], [2.281676685511367, 48.85560303154727], [2.281716746873379, 48.85557684526995], [2.281718450687883, 48.8555766351546], [2.281720154502273, 48.85557642503921], [2.281722709942367, 48.855576426888426], [2.281725264427897, 48.85557649798252], [2.281726968450495, 48.85557656936763], [2.28172867150614, 48.85557671089692], [2.281730374574191, 48.8555768515269], [2.281740410433934, 48.855578579179685], [2.28146740787886, 48.85537684715402], [2.2813762147710532, 48.85542710611154], [2.281230477225544, 48.85550733767715]]], ""type"": ""Polygon""}";48.8555344104,2.2814776274
16;240;16-240;"{""coordinates"": [[[2.281754793180129, 48.85352918559434], [2.282329326115534, 48.85386900723811], [2.282414574431481, 48.85379977582291], [2.281778756885645, 48.85342542900283], [2.2817122620940298, 48.85348026678204], [2.281754793180129, 48.85352918559434]]], ""type"": ""Polygon""}";48.8536489067,2.28205846815
12;42;12-42;"{""coordinates"": [[[2.39914837387192, 48.8450617624909], [2.399082413983281, 48.844749370714474], [2.398976824620331, 48.8447525897121], [2.398944348515629, 48.844659448371985], [2.398802990190092, 48.84465952592058], [2.3988954852992173, 48.84508368022002], [2.398905703867125, 48.84508283130723], [2.39914837387192, 48.8450617624909]]], ""type"": ""Polygon""}";48.8448830002,2.39897209962
16;173;16-173;"{""coordinates"": [[[2.2676993731039072, 48.84162672931909], [2.267699376558152, 48.841624059105726], [2.267695121962117, 48.84162187906539], [2.267676414542967, 48.84160381218511], [2.267993370251769, 48.841462929185866], [2.267881975556645, 48.8413531932576], [2.267837669732162, 48.8413737515442], [2.267705032886278, 48.84123070039702], [2.267262841260483, 48.841417874349986], [2.267324102925087, 48.841451493962445], [2.267424504097693, 48.84150642461883], [2.267474704192173, 48.84153378513404], [2.267349373293704, 48.841647734266296], [2.267560416231434, 48.841741794109886], [2.2676993731039072, 48.84162672931909]]], ""type"": ""Polygon""}";48.841473542,2.26761780211
16;169;16-169;"{""coordinates"": [[[[2.256187452801443, 48.83840190666757], [2.255886476330959, 48.83842891728056], [2.255669704747853, 48.83864967385687], [2.255748708163176, 48.83863964004537], [2.25590243798617, 48.83869592960653], [2.256014007703251, 48.838582402021686], [2.256091046738966, 48.83861500594462], [2.2562410419101973, 48.83846126499973], [2.256187452801443, 48.83840190666757]], [[2.256123580947244, 48.83851297717288], [2.256088378725832, 48.83849808584173], [2.2560854390198752, 48.838501009416426], [2.256080708112233, 48.83849893751268], [2.256082713254266, 48.8384964847949], [2.256079687837083, 48.83849405385448], [2.256082591621266, 48.838491165132154], [2.2560864952271418, 48.83849287483869], [2.2561163028784, 48.83846322163284], [2.25611345412753, 48.83846196817495], [2.256116310715301, 48.83845914031577], [2.256119289443141, 48.83846045124256], [2.256122821833046, 48.838456953953674], [2.256127528216334, 48.83845902570334], [2.256124208657463, 48.83846231206328], [2.256158665754549, 48.83847747845667], [2.256162605824703, 48.83847357808352], [2.256166975077528, 48.83847550113695], [2.256163133133395, 48.838479304088466], [2.256168160408271, 48.83848151723513], [2.256164784198496, 48.83848485900512], [2.256159789414573, 48.83848266045039], [2.256130444052043, 48.838511713060406], [2.25613481843349, 48.83851356329742], [2.25613198645785, 48.838516480348204], [2.256127548430682, 48.838514602734016], [2.256124721993719, 48.83851751352339], [2.256120790457512, 48.83851585131132], [2.256123580947244, 48.83851297717288]]]], ""type"": ""MultiPolygon""}";48.8385354751,2.25596404474
